401.44,-16.2162162162162
393.72,-30.1158301158301
387.544,-37.8378378378378
381.368,-50.1930501930502
375.192,-56.3706563706564
359.752,-69.4980694980695
339.68,-75.6756756756757
324.24,-81.0810810810811
302.624,-84.1698841698842
284.096,-84.1698841698842
268.656,-81.0810810810811
257.848,-74.1312741312741
245.496,-66.4092664092664
226.968,-53.2818532818533
219.248,-46.3320463320463
208.44,-34.7490347490347
197.632,-27.7992277992278
191.456,-16.988416988417
185.28,-3.86100386100386
182.192,9.26640926640927
179.104,17.7606177606178
