Elongation [mm],Load [kN]
0.0,-0.010531469
9.138460000000001e-06,-0.00968832
9.33326e-06,-0.013019661
3.38837e-06,-0.012041309
2.702946e-05,0.011436279
3.999096e-05,0.001814325
2.822226e-05,0.002403424
2.069086e-05,0.004741894
7.189175999999999e-05,0.024958789
0.00019407676,0.084616415
0.00035264776,0.160640299
0.0005509437599999999,0.242185891
0.00073539976,0.327364892
0.00096811576,0.427282751
0.00122499576,0.538139403
0.00150045476,0.657675922
0.00178766776,0.773323715
0.00206324576,0.883814037
0.00232705076,0.995582879
0.0025967757600000004,1.101573944
0.00281954576,1.200852871
0.00306527676,1.30529356
0.0033136187600000004,1.406734943
0.0035331617600000004,1.508397818
0.00379331276,1.612148404
0.0040281877599999995,1.715592146
0.004281401759999999,1.825652122
0.00453111976,1.930810928
0.00478525376,2.034419298
0.005021510759999999,2.139593363
0.005264690759999999,2.243082523
0.00553058176,2.350265026
0.00575790676,2.450098515
0.00600359276,2.55506587
0.00625346776,2.653044701
0.00649056376,2.762732267
0.00673359376,2.866561651
0.00696189576,2.969797373
0.00721209676,3.078352213
0.0074709667599999995,3.187161684
0.00771048076,3.295250654
0.00795010276,3.399982691
0.008202769759999999,3.504987717
0.00843300876,3.614258051
0.00870872076,3.723614454
0.00895288776,3.8317945
0.00920109176,3.935299873
0.00944530276,4.042795658
0.00968373176,4.151912689
0.00993415576,4.259600163
0.01019938276,4.365422249
0.01043020076,4.472720623
0.01068334176,4.580242634
0.01092258976,4.688926697
0.01118716176,4.798015118
0.01144241576,4.903132439
0.01168466676,5.010279655
0.011943857759999999,5.117187023
0.01218515376,5.222166538
0.01243772576,5.323358059
0.01268754976,5.430800438
0.01296172876,5.536653996
0.01321522176,5.636264324
0.01345990676,5.735049248
0.01370323976,5.831490993
0.01396284376,5.934113503
0.01421386176,6.029590607
0.01446519976,6.134793282
0.01475801876,6.233369827
0.01501164076,6.333396435
0.01527405976,6.431357861
0.015533329759999999,6.529925823
0.01579284576,6.626851082
0.01606429676,6.724658012
0.01632993376,6.819300652
0.01656978876,6.910571575
0.016845767759999998,7.008926392
0.01711471676,7.095832825
0.01738894476,7.184948444
0.01764123476,7.271194935
0.01790804376,7.360552788
0.01817231376,7.448895454
0.01842232776,7.536031246
0.01869672476,7.62391758
0.01895026276,7.711582661
0.01925238876,7.793673992
0.01949203276,7.873986721
0.01974988276,7.952163696
0.02002371076,8.033886909
0.02027986876,8.110962868
0.02054712076,8.18795681
0.02082843476,8.259640694
0.021088662759999998,8.331106186
0.02133421576,8.401464462
0.02161557376,8.468272209
0.02188058176,8.536785126
0.02216342776,8.600096703
0.02244438176,8.657870293
0.02271737476,8.715232849
0.02298507776,8.768190384
0.02325331176,8.821464539
0.02350003576,8.870959282
0.02377583376,8.922271729
0.02404572776,8.974785805
0.02430450276,9.017656326
0.02455200776,9.061594963
0.02482395576,9.105956078
0.02508562776,9.148054123
0.02536924676,9.186344147
0.02562070776,9.225765228
0.02589068076,9.261672974
0.02614041176,9.29599762
0.02641889376,9.331069946
0.02669244576,9.357225418
0.02695884276,9.386182785
0.02723418676,9.409526825
0.02752627976,9.431477547
0.027807219759999998,9.447323799
0.02809038276,9.46135807
0.02836399976,9.475831985
0.02858962276,9.487149239
0.02884017076,9.498765945
0.02905479776,9.519739151
0.02929943876,9.538525581
0.02954156976,9.559321404
0.02978239376,9.583765984
0.03003420076,9.606688499
0.03030223176,9.624596596
0.03054885276,9.642539978
0.03082166776,9.660424232
0.03107620476,9.677205086
0.03133530476,9.691841125
0.03160026276,9.709121704
0.03185101876,9.722075462
0.03211624476,9.737327576
0.03235583276,9.750336647
0.03261820876,9.76619339
0.03286319576,9.775309563
0.03309832076,9.793149948
0.03336201576,9.81010437
0.03361204976,9.821699142
0.03386235576,9.833601952
0.03410086376,9.850876808
0.03435920876,9.865905762
0.03459779076,9.880871773
0.034860684759999996,9.8959589
0.03510374176,9.909474373
0.03535731776,9.925017357
0.03561438976,9.942221642
0.03586827176,9.955218315
0.03612678776,9.96790123
0.03638460376,9.983335495
0.03664687976,9.992620468
0.03688853876,10.00026131
0.03712830276,10.0145483
0.03736892676,10.02925777
0.03762979776,10.04101086
0.03787883276,10.05242157
0.03810759176,10.06432915
0.03835995076,10.08127689
0.03860083876,10.09701347
0.03886085276,10.11123466
0.03913124976,10.12454414
0.03937301676,10.13820553
0.03961279576,10.15337944
0.03987590176,10.16358185
0.04011266576,10.17823982
0.04037757876,10.18959141
0.04059785876,10.20399666
0.04086673176,10.21880913
0.04111240376,10.23185539
0.04136583876,10.24631786
0.04161493376,10.26023865
0.04187113776,10.27836514
0.04210607976,10.28840446
0.04235809576,10.30269909
0.04261347976,10.31830978
0.04288830176,10.33166122
0.04311881476,10.34067154
0.04337067076,10.3565979
0.04362293676,10.3690815
0.04387258676,10.38197899
0.04412384276,10.39611053
0.04437455076,10.41135406
0.04462321776,10.42573738
0.04488227776,10.43813896
0.04512014176,10.44736671
0.04538785576,10.46030712
0.04563569176,10.47271824
0.04588016776,10.48223495
0.04612814976,10.49437332
0.04637316576,10.50801086
0.04662632176,10.52416706
0.04688594476,10.53620338
0.04712680676,10.54438972
0.04737123776,10.55620956
0.04762813376,10.57081318
0.04788765576,10.58413506
0.04811824376,10.59046078
0.04838511276,10.60753441
0.04864597976,10.61816597
0.04889966076,10.63052845
0.04914772476,10.63804817
0.04939401076,10.64838791
0.04963367776,10.660532
0.04990218876,10.67256165
0.05014375576,10.68379974
0.05040167176,10.6969862
0.05066089276,10.70533085
0.05090242976,10.71654797
0.05116061076,10.72792625
0.05141407176,10.73749352
0.05165923676,10.74976444
0.05193161576,10.76019192
0.05216432676,10.76643848
0.05240955476,10.78073883
0.05264582776,10.78919315
0.05290324576,10.80297565
0.05315584576,10.81027889
0.05340789176,10.82339382
0.05366186376,10.83298969
0.05391292976,10.84005833
0.05416167476,10.85397911
0.05442615876,10.86558819
0.05467610376,10.87224293
0.05490868076,10.87971687
0.05515439776,10.89071274
0.05540609276,10.90298843
0.05566461676,10.9133749
0.05591249076,10.92102242
0.05616743476,10.93108368
0.05640470876,10.941329
0.05665748176,10.95088291
0.05691368476,10.95955944
0.05716946676,10.96932507
0.05741583076,10.9790144
0.05767569976,10.98855686
0.05791531476,10.9961834
0.05815935076,11.00332642
0.05841253976,11.0134182
0.05867419376,11.02583218
0.05892129176,11.02985573
0.05916777576,11.03925514
0.05942686576,11.04771996
0.05967721276,11.06113625
0.05993047276,11.06953239
0.06018011176,11.07789326
