type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X249,F,249,73.5,39.4,39  3/8 ,15.8,15  3/4 ,0.750,  3/4 ,1.42,1  7/16,2.60,2 11/16,1  9/16,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X215,F,215,63.5,39.0,39      ,15.8,15  3/4 ,0.650,  5/8 ,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X199,F,199,58.8,38.7,38  5/8 ,15.8,15  3/4 ,0.650,  5/8 ,1.07,1  1/16,2.25,2  5/16,1  9/16,7.39,52.6,14900,869,770,16.0,695,137,88.2,3.45,18.3,246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X392,T,392,116,41.6,41  5/8 ,12.4,12  3/8 ,1.42,1  7/16,2.52,2  1/2 ,3.70,3 13/16,1 15/16,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X331,T,331,97.7,40.8,40  3/4 ,12.2,12  1/8 ,1.22,1  1/4 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.86,28.0,24700,1430,1210,15.9,644,172,106,2.57,105,241000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X327,T,327,95.9,40.8,40  3/4 ,12.1,12  1/8 ,1.18,1  3/16,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.85,29.0,24500,1410,1200,16.0,640,170,105,2.58,103,239000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X294,F,294,86.2,40.4,40  3/8 ,12.0,12      ,1.06,1  1/16,1.93,1 15/16,3.11,3  3/16,1  3/4 ,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X278,F,278,82.3,40.2,40  1/8 ,12.0,12      ,1.03,1      ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65.0,192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X264,F,264,77.4,40.0,40      ,11.9,11  7/8 ,0.960, 15/16,1.73,1  3/4 ,2.91,3      ,1 11/16,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X235,F,235,69.1,39.7,39  3/4 ,11.9,11  7/8 ,0.830, 13/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X211,F,211,62.1,39.4,39  3/8 ,11.8,11  3/4 ,0.750,  3/4 ,1.42,1  7/16,2.60,2 11/16,1  9/16,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X183,F,183,53.3,39.0,39      ,11.8,11  3/4 ,0.650,  5/8 ,1.20,1  3/16,2.38,2  1/2 ,1  9/16,4.92,52.6,13200,774,675,15.7,331,88.3,56.0,2.49,19.3,118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X167,F,167,49.3,38.6,38  5/8 ,11.8,11  3/4 ,0.650,  5/8 ,1.03,1      ,2.21,2  5/16,1  9/16,5.76,52.6,11600,693,600,15.3,283,76.0,47.9,2.40,14.0,99700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X149,F,149,43.8,38.2,38  1/4 ,11.8,11  3/4 ,0.630,  5/8 ,0.830, 13/16,2.01,2  1/8 ,1  1/2 ,7.11,54.3,9800,598,513,15.0,229,62.2,38.8,2.29,9.36,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X925,T,925,272,43.1,43  1/8 ,18.6,18  5/8 ,3.02,3      ,4.53,4  1/2 ,5.28,5  3/8 ,2  5/16,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X853,T,853,251,43.1,43  1/8 ,18.2,18  1/4 ,2.52,2  1/2 ,4.53,4  1/2 ,5.28,5  3/8 ,2  1/16,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X802,T,802,236,42.6,42  5/8 ,18.0,18      ,2.38,2  3/8 ,4.29,4  5/16,5.04,5  1/8 ,2      ,2.10,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X723,T,723,213,41.8,41  3/4 ,17.8,17  3/4 ,2.17,2  3/16,3.90,3  7/8 ,4.65,4 11/16,1  7/8 ,2.28,15.0,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X652,T,652,192,41.1,41      ,17.6,17  5/8 ,1.97,2      ,3.54,3  9/16,4.49,4 13/16,2  3/16,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.10,593,1130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X529,T,529,156,39.8,39  3/4 ,17.2,17  1/4 ,1.61,1  5/8 ,2.91,2 15/16,3.86,4  3/16,2      ,2.96,19.9,39600,2330,1990,16.0,2490,454,289,4.00,327,846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X487,T,487,143,39.3,39  3/8 ,17.1,17  1/8 ,1.50,1  1/2 ,2.68,2 11/16,3.63,4      ,1  7/8 ,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X441,T,441,130,38.9,38  7/8 ,17.0,17      ,1.36,1  3/8 ,2.44,2  7/16,3.39,3  3/4 ,1  7/8 ,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X395,T,395,116,38.4,38  3/8 ,16.8,16  7/8 ,1.22,1  1/4 ,2.20,2  3/16,3.15,3  7/16,1 13/16,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
