type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X263,F,263,77.4,34.5,34  1/2 ,15.8,15  3/4 ,0.870,  7/8 ,1.57,1  9/16,2.36,2 13/16,1  5/8 ,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X241,F,241,71.1,34.2,34  1/8 ,15.9,15  7/8 ,0.830, 13/16,1.40,1  3/8 ,2.19,2 11/16,1  5/8 ,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X221,F,221,65.3,33.9,33  7/8 ,15.8,15  3/4 ,0.775,  3/4 ,1.28,1  1/4 ,2.06,2  1/2 ,1  5/8 ,6.20,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X201,F,201,59.1,33.7,33  5/8 ,15.7,15  3/4 ,0.715, 11/16,1.15,1  1/8 ,1.94,2  7/16,1  9/16,6.85,41.7,11600,773,686,14.0,749,147,95.2,3.56,20.8,198000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X169,F,169,49.5,33.8,33  7/8 ,11.5,11  1/2 ,0.670, 11/16,1.22,1  1/4 ,1.92,2  7/16,1  9/16,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.50,17.7,82400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X152,F,152,44.9,33.5,33  1/2 ,11.6,11  5/8 ,0.635,  5/8 ,1.06,1  1/16,1.76,2  5/16,1  1/2 ,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X141,F,141,41.5,33.3,33  1/4 ,11.5,11  1/2 ,0.605,  5/8 ,0.960, 15/16,1.66,2  3/16,1  1/2 ,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.70,64400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X130,F,130,38.3,33.1,33  1/8 ,11.5,11  1/2 ,0.580,  9/16,0.855,  7/8 ,1.56,2  1/8 ,1  1/2 ,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X118,F,118,34.7,32.9,32  7/8 ,11.5,11  1/2 ,0.550,  9/16,0.740,  3/4 ,1.44,2      ,1  1/2 ,7.76,54.5,5900,415,359,13.0,187,51.3,32.6,2.32,5.30,48300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X391,T,391,115,33.2,33  1/4 ,15.6,15  5/8 ,1.36,1  3/8 ,2.44,2  7/16,3.23,3  3/4 ,1  7/8 ,3.19,19.7,20700,1450,1250,13.4,1550,310,198,3.67,173,366000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X357,T,357,105,32.8,32  3/4 ,15.5,15  1/2 ,1.24,1  1/4 ,2.24,2  1/4 ,3.03,3  1/2 ,1 13/16,3.45,21.6,18700,1320,1140,13.3,1390,279,179,3.64,134,324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X326,T,326,95.9,32.4,32  3/8 ,15.4,15  3/8 ,1.14,1  1/8 ,2.05,2  1/16,2.84,3  5/16,1  3/4 ,3.75,23.4,16800,1190,1040,13.2,1240,252,162,3.60,103,287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X292,F,292,86.0,32.0,32      ,15.3,15  1/4 ,1.02,1      ,1.85,1  7/8 ,2.64,3  1/8 ,1  3/4 ,4.12,26.2,14900,1060,930,13.2,1100,223,144,3.58,75.2,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X261,F,261,77.0,31.6,31  5/8 ,15.2,15  1/8 ,0.930, 15/16,1.65,1  5/8 ,2.44,2 15/16,1 11/16,4.59,28.7,13100,943,829,13.1,959,196,127,3.53,54.1,215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X235,F,235,69.3,31.3,31  1/4 ,15.1,15      ,0.830, 13/16,1.50,1  1/2 ,2.29,2  3/4 ,1  5/8 ,5.02,32.2,11700,847,748,13.0,855,175,114,3.51,40.3,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X211,F,211,62.3,30.9,31      ,15.1,15  1/8 ,0.775,  3/4 ,1.32,1  5/16,2.10,2  9/16,1  5/8 ,5.74,34.5,10300,751,665,12.9,757,155,100,3.49,28.4,166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X191,F,191,56.1,30.7,30  5/8 ,15.0,15      ,0.710, 11/16,1.19,1  3/16,1.97,2  1/2 ,1  9/16,6.35,37.7,9200,675,600,12.8,673,138,89.5,3.46,21.0,146000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X173,F,173,50.9,30.4,30  1/2 ,15.0,15      ,0.655,  5/8 ,1.07,1  1/16,1.85,2  5/16,1  9/16,7.04,40.8,8230,607,541,12.7,598,123,79.8,3.42,15.6,129000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X148,F,148,43.6,30.7,30  5/8 ,10.5,10  1/2 ,0.650,  5/8 ,1.18,1  3/16,1.83,2  1/2 ,1  9/16,4.44,41.6,6680,500,436,12.4,227,68.0,43.3,2.28,14.5,49400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X132,F,132,38.8,30.3,30  1/4 ,10.5,10  1/2 ,0.615,  5/8 ,1.00,1      ,1.65,2  1/4 ,1  1/2 ,5.27,43.9,5770,437,380,12.2,196,58.4,37.2,2.25,9.72,42100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X124,F,124,36.5,30.2,30  1/8 ,10.5,10  1/2 ,0.585,  9/16,0.930, 15/16,1.58,2  1/4 ,1  1/2 ,5.65,46.2,5360,408,355,12.1,181,54.0,34.4,2.23,7.99,38600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X116,F,116,34.2,30.0,30      ,10.5,10  1/2 ,0.565,  9/16,0.850,  7/8 ,1.50,2  1/8 ,1  1/2 ,6.17,47.8,4930,378,329,12.0,164,49.2,31.3,2.19,6.43,34900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X108,F,108,31.7,29.8,29  7/8 ,10.5,10  1/2 ,0.545,  9/16,0.760,  3/4 ,1.41,2      ,1  1/2 ,6.89,49.6,4470,346,299,11.9,146,43.9,27.9,2.15,4.99,30900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X99,F,99.0,29.0,29.7,29  5/8 ,10.5,10  1/2 ,0.520,  1/2 ,0.670, 11/16,1.32,2      ,1  1/2 ,7.80,51.9,3990,312,269,11.7,128,38.6,24.5,2.10,3.77,26800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W30X90,F,90.0,26.3,29.5,29  1/2 ,10.4,10  3/8 ,0.470,  1/2 ,0.610,  5/8 ,1.26,1  7/8 ,1  7/16,8.52,57.5,3610,283,245,11.7,115,34.7,22.1,2.09,2.84,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X539,T,539,159,32.5,32  1/2 ,15.3,15  1/4 ,1.97,2      ,3.54,3  9/16,4.33,4  7/16,1 13/16,2.15,12.1,25600,1890,1570,12.7,2110,437,277,3.65,496,443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X368,T,368,109,30.4,30  3/8 ,14.7,14  5/8 ,1.38,1  3/8 ,2.48,2  1/2 ,3.27,3 11/16,1  7/8 ,2.96,17.3,16200,1240,1060,12.2,1310,279,179,3.48,170,255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X336,T,336,99.2,30.0,30      ,14.6,14  1/2 ,1.26,1  1/4 ,2.28,2  1/4 ,3.07,3  1/2 ,1 13/16,3.19,18.9,14600,1130,972,12.1,1180,252,162,3.45,131,226000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X307,T,307,90.2,29.6,29  5/8 ,14.4,14  1/2 ,1.16,1  3/16,2.09,2  1/16,2.88,3  5/16,1 13/16,3.46,20.6,13100,1030,887,12.0,1050,227,146,3.41,101,199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X281,F,281,83.1,29.3,29  1/4 ,14.4,14  3/8 ,1.06,1  1/16,1.93,1 15/16,2.72,3  1/8 ,1  3/4 ,3.72,22.5,11900,936,814,12.0,953,206,133,3.39,79.5,178000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X258,F,258,76.1,29.0,29      ,14.3,14  1/4 ,0.980,1      ,1.77,1  3/4 ,2.56,3      ,1 11/16,4.03,24.4,10800,852,745,11.9,859,187,120,3.36,61.6,159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X235,F,235,69.4,28.7,28  5/8 ,14.2,14  1/4 ,0.910, 15/16,1.61,1  5/8 ,2.40,2  7/8 ,1 11/16,4.41,26.2,9700,772,677,11.8,769,168,108,3.33,47.0,141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X217,F,217,63.9,28.4,28  3/8 ,14.1,14  1/8 ,0.830, 13/16,1.50,1  1/2 ,2.29,2 11/16,1  5/8 ,4.71,28.7,8910,711,627,11.8,704,154,100,3.32,37.6,128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X194,F,194,57.1,28.1,28  1/8 ,14.0,14      ,0.750,  3/4 ,1.34,1  5/16,2.13,2  9/16,1  9/16,5.24,31.8,7860,631,559,11.7,619,136,88.1,3.29,27.1,111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X178,F,178,52.5,27.8,27  3/4 ,14.1,14  1/8 ,0.725,  3/4 ,1.19,1  3/16,1.98,2  3/8 ,1  9/16,5.92,32.9,7020,570,505,11.6,555,122,78.8,3.25,20.1,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X161,F,161,47.6,27.6,27  5/8 ,14.0,14      ,0.660, 11/16,1.08,1  1/16,1.87,2  5/16,1  9/16,6.49,36.1,6310,515,458,11.5,497,109,70.9,3.23,15.1,87300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X146,F,146,43.2,27.4,27  3/8 ,14.0,14      ,0.605,  5/8 ,0.975,1      ,1.76,2  3/16,1  1/2 ,7.16,39.4,5660,464,414,11.5,443,97.7,63.5,3.20,11.3,77200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X129,F,129,37.8,27.6,27  5/8 ,10.0,10      ,0.610,  5/8 ,1.10,1  1/8 ,1.70,2  5/16,1  1/2 ,4.55,39.7,4760,395,345,11.2,184,57.6,36.8,2.21,11.1,32500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X114,F,114,33.6,27.3,27  1/4 ,10.1,10  1/8 ,0.570,  9/16,0.930, 15/16,1.53,2  1/8 ,1  1/2 ,5.41,42.5,4080,343,299,11.0,159,49.3,31.5,2.18,7.33,27600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X102,F,102,30.0,27.1,27  1/8 ,10.0,10      ,0.515,  1/2 ,0.830, 13/16,1.43,2  1/16,1  7/16,6.03,47.1,3620,305,267,11.0,139,43.4,27.8,2.15,5.28,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X94,F,94.0,27.6,26.9,26  7/8 ,10.0,10      ,0.490,  1/2 ,0.745,  3/4 ,1.34,1 15/16,1  7/16,6.70,49.5,3270,278,243,10.9,124,38.8,24.8,2.12,4.03,21300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W27X84,F,84.0,24.7,26.7,26  3/4 ,10.0,10      ,0.460,  7/16,0.640,  5/8 ,1.24,1  7/8 ,1  7/16,7.78,52.7,2850,244,213,10.7,106,33.2,21.2,2.07,2.81,17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X370,T,370,109,28.0,28      ,13.7,13  5/8 ,1.52,1  1/2 ,2.72,2  3/4 ,3.22,4      ,2      ,2.51,14.2,13400,1130,957,11.1,1160,267,170,3.27,201,186000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X335,T,335,98.3,27.5,27  1/2 ,13.5,13  1/2 ,1.38,1  3/8 ,2.48,2  1/2 ,2.98,3  3/4 ,1  7/8 ,2.73,15.6,11900,1020,864,11.0,1030,238,152,3.23,152,161000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X306,T,306,89.7,27.1,27  1/8 ,13.4,13  3/8 ,1.26,1  1/4 ,2.28,2  1/4 ,2.78,3  9/16,1 13/16,2.94,17.1,10700,922,789,10.9,919,214,137,3.20,117,142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X279,T,279,81.9,26.7,26  3/4 ,13.3,13  1/4 ,1.16,1  3/16,2.09,2  1/16,2.59,3  3/8 ,1 13/16,3.18,18.6,9600,835,718,10.8,823,193,124,3.17,90.5,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X250,F,250,73.5,26.3,26  3/8 ,13.2,13  1/8 ,1.04,1  1/16,1.89,1  7/8 ,2.39,3  1/8 ,1  3/4 ,3.49,20.7,8490,744,644,10.7,724,171,110,3.14,66.6,108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X229,F,229,67.2,26.0,26      ,13.1,13  1/8 ,0.960, 15/16,1.73,1  3/4 ,2.23,3      ,1 11/16,3.79,22.5,7650,675,588,10.7,651,154,99.4,3.11,51.3,96100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X207,F,207,60.7,25.7,25  3/4 ,13.0,13      ,0.870,  7/8 ,1.57,1  9/16,2.07,2  7/8 ,1  5/8 ,4.14,24.8,6820,606,531,10.6,578,137,88.8,3.08,38.3,84100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X192,F,192,56.5,25.5,25  1/2 ,13.0,13      ,0.810, 13/16,1.46,1  7/16,1.96,2  3/4 ,1  5/8 ,4.43,26.6,6260,559,491,10.5,530,126,81.8,3.07,30.8,76300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X176,F,176,51.7,25.2,25  1/4 ,12.9,12  7/8 ,0.750,  3/4 ,1.34,1  5/16,1.84,2  5/8 ,1  9/16,4.81,28.7,5680,511,450,10.5,479,115,74.3,3.04,23.9,68400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X162,F,162,47.8,25.0,25      ,13.0,13      ,0.705, 11/16,1.22,1  1/4 ,1.72,2  1/2 ,1  9/16,5.31,30.6,5170,468,414,10.4,443,105,68.4,3.05,18.5,62600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X146,F,146,43.0,24.7,24  3/4 ,12.9,12  7/8 ,0.650,  5/8 ,1.09,1  1/16,1.59,2  3/8 ,1  9/16,5.92,33.2,4580,418,371,10.3,391,93.2,60.5,3.01,13.4,54600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X131,F,131,38.6,24.5,24  1/2 ,12.9,12  7/8 ,0.605,  5/8 ,0.960, 15/16,1.46,2  1/4 ,1  1/2 ,6.70,35.6,4020,370,329,10.2,340,81.5,53.0,2.97,9.50,47100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X117,F,117,34.4,24.3,24  1/4 ,12.8,12  3/4 ,0.550,  9/16,0.850,  7/8 ,1.35,2  1/8 ,1  1/2 ,7.53,39.2,3540,327,291,10.1,297,71.4,46.5,2.94,6.72,40800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X104,F,104,30.7,24.1,24      ,12.8,12  3/4 ,0.500,  1/2 ,0.750,  3/4 ,1.25,2  1/16,1  7/16,8.50,43.1,3100,289,258,10.1,259,62.4,40.7,2.91,4.72,35200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X103,F,103,30.3,24.5,24  1/2 ,9.00,9      ,0.550,  9/16,0.980,1      ,1.48,2  1/4 ,1  1/2 ,4.59,39.2,3000,280,245,10.0,119,41.5,26.5,1.99,7.07,16600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X94,F,94.0,27.7,24.3,24  1/4 ,9.07,9  1/8 ,0.515,  1/2 ,0.875,  7/8 ,1.38,2  1/8 ,1  7/16,5.18,41.9,2700,254,222,9.87,109,37.5,24.0,1.98,5.26,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X84,F,84.0,24.7,24.1,24  1/8 ,9.02,9      ,0.470,  1/2 ,0.770,  3/4 ,1.27,2  1/16,1  7/16,5.86,45.9,2370,224,196,9.79,94.4,32.6,20.9,1.95,3.70,12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X76,F,76.0,22.4,23.9,23  7/8 ,8.99,9      ,0.440,  7/16,0.680, 11/16,1.18,1 15/16,1  7/16,6.61,49.0,2100,200,176,9.69,82.5,28.6,18.4,1.92,2.68,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X68,F,68.0,20.1,23.7,23  3/4 ,8.97,9      ,0.415,  7/16,0.585,  9/16,1.09,1  7/8 ,1  7/16,7.66,52.0,1830,177,154,9.55,70.4,24.5,15.7,1.87,1.87,9430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X62,F,62.0,18.2,23.7,23  3/4 ,7.04,7      ,0.430,  7/16,0.590,  9/16,1.09,1  1/2 ,1  1/16,5.97,50.1,1550,153,131,9.23,34.5,15.7,9.80,1.38,1.71,4620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W24X55,F,55.0,16.2,23.6,23  5/8 ,7.01,7      ,0.395,  3/8 ,0.505,  1/2 ,1.01,1  7/16,1      ,6.94,54.6,1350,134,114,9.11,29.1,13.3,8.30,1.34,1.18,3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X275,T,275,81.8,24.1,24  1/8 ,12.9,12  7/8 ,1.22,1  1/4 ,2.19,2  3/16,3.37,3  7/16,1 13/16,2.95,14.2,7690,749,638,9.70,787,191,122,3.10,107,94400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X248,F,248,73.8,23.7,23  3/4 ,12.8,12  3/4 ,1.10,1  1/8 ,1.99,2      ,3.17,3  1/4 ,1  3/4 ,3.22,15.8,6830,671,576,9.62,699,170,109,3.08,80.7,82400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X223,F,223,66.5,23.4,23  3/8 ,12.7,12  5/8 ,1.00,1      ,1.79,1 13/16,2.97,3  1/16,1 11/16,3.55,17.5,6080,601,520,9.56,614,150,96.7,3.04,59.5,71700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X201,F,201,59.3,23.0,23      ,12.6,12  5/8 ,0.910, 15/16,1.63,1  5/8 ,2.13,2  7/8 ,1 11/16,3.86,20.6,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
