cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
HD 400 x 677,677.0,483.0,428.0,51.2,81.5,20,320.0,280.0,863.4,2.541,3.743,299820,12410,15360,18.6,241.6,106880,4994,7684,11.1,23.7,16680,42910000
HD 400 x 634,634.0,474.0,424.0,47.6,77.1,20,320.0,280.0,808.0,2.514,3.956,274520,11580,14240,18.4,223.1,98260,4635,7121,11,22.5,13960,38570000
HD 400 x 592,592.0,465.0,421.0,45.0,72.3,20,320.0,280.0,754.9,2.490,4.194,250510,10770,13160,18.1,209,90180,4284,6578,10.9,21.3,11520,34660000
HD 400 x 551,551.0,455.0,418.0,42.0,67.6,20,320.0,280.0,701.4,2.464,4.466,226460,9954,12070,17.9,193.1,82500,3947,6055,10.8,20,9395,30870000
HD 400 x 509,509.0,446.0,416.0,39.1,62.7,20,320.0,280.0,649.0,2.443,4.785,204880,9187,11050,17.7,178.3,75410,3625,5556,10.7,18.7,7513,27630000
HD 400 x 463,463.0,435.0,412.0,35.8,57.4,20,320.0,280.0,589.5,2.412,5.199,180510,8299,9900,17.4,161.5,67040,3254,4981,10.6,17.4,5746,23840000
HD 400 x 421,421.0,425.0,409.0,32.8,52.6,20,320.0,280.0,537.1,2.386,5.643,159930,7526,8903,17.2,146.6,60080,2938,4492,10.5,16.1,4416,20790000
HD 400 x 382,382.0,416.0,406.0,29.8,48.0,20,320.0,280.0,487.1,2.362,6.159,141670,6811,7987,17,132.2,53620,2641,4033,10.4,14.9,3348,18120000
HD 400 x 347,347.0,407.0,404.0,27.2,43.7,20,320.0,280.0,442.0,2.341,6.725,125300,6157,7161,16.8,119.7,48090,2380,3631,10.4,13.8,2532,15840000
HD 400 x 314,314.0,399.0,401.0,24.9,39.6,20,320.0,280.0,399.2,2.318,7.37,110580,5543,6397,16.6,108.7,42600,2125,3239,10.3,12.7,1891,13740000
