cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
IPE O 240,34.3,242.0,122.0,7.0,10.8,15,220.4,190.4,43.7,0.932,27.16,4369,361,410.2,9.9,21.35,328.5,53.85,84.39,2.7,4.6,17.09,43670
IPE 240,30.7,240.0,120.0,6.2,9.8,15,220.4,190.4,39.1,0.922,30.03,3891,324.3,366.6,9.9,19.14,283.6,47.27,73.92,2.6,4.3,12.95,37390
IPE A 240,26.2,237.0,120.0,5.2,8.3,15,220.4,190.4,33.3,0.918,35.11,3290,277.6,311.5,9.9,16.31,240.1,40.02,62.39,2.6,3.9,8.503,31250
IPE AA 240,24.9,236.4,120.0,4.8,8.0,15,220.4,190.4,31.7,0.917,36.84,3153,266.8,298.1,9.9,15.29,231.3,38.56,59.98,2.7,3.8,7.608,30040
IPE O 220,29.4,222.0,112.0,6.6,10.2,12,201.6,177.6,37.4,0.858,29.23,3134,282.3,321.1,9.1,17.66,239.8,42.82,66.9,2.5,4.1,12.16,26780
IPE 220,26.2,220.0,110.0,5.9,9.2,12,201.6,177.6,33.4,0.848,32.37,2771,251.9,285.4,9.1,15.88,204.8,37.25,58.11,2.4,3.8,9.03,22670
IPE A 220,22.2,217.0,110.0,5.0,7.7,12,201.6,177.6,28.3,0.843,38.01,2316,213.5,240.2,9,13.54,171.4,31.16,48.48,2.4,3.4,5.679,18700
IPE AA 220,21.2,216.4,110.0,4.7,7.4,12,201.6,177.6,27.0,0.843,39.79,2218,205,230,9,12.83,164.7,29.94,46.5,2.4,3.3,5.056,17920
IPE O 200,25.1,202.0,102.0,6.2,9.5,12,183.0,159.0,32.0,0.779,31.05,2211,218.9,249.4,8.3,15.45,168.8,33.11,51.89,2.2,3.9,9.357,15560
IPE 200,22.4,200.0,100.0,5.6,8.5,12,183.0,159.0,28.5,0.768,34.35,1943,194.3,220.6,8.2,14,142.3,28.47,44.61,2.2,3.6,6.915,12980
IPE A 200,18.4,197.0,100.0,4.5,7.0,12,183.0,159.0,23.5,0.764,41.47,1591,161.5,181.6,8.2,11.46,117.1,23.43,36.53,2.2,3.2,4.135,10520
IPE AA 200,18.0,196.4,100.0,4.5,6.7,12,183.0,159.0,22.9,0.763,42.5,1533,156.1,175.7,8.1,11.38,112.1,22.43,35.03,2.2,3.1,3.808,10040
IPE O 180,21.3,182.0,92.0,6.0,9.0,9,164.0,146.0,27.1,0.705,33.15,1505,165.4,189.1,7.4,12.69,117.2,25.49,39.91,2,3.4,6.647,8739
IPE 180,18.8,180.0,91.0,5.3,8.0,9,164.0,146.0,23.9,0.698,37.13,1316,146.3,166.4,7.4,11.25,100.8,22.16,34.59,2,3.1,4.726,7431
IPE A 180,15.4,177.0,91.0,4.3,6.5,9,164.0,146.0,19.6,0.694,45.16,1062,120,135.3,7.3,9.196,81.88,17.99,27.96,2,2.7,2.673,5933
IPE AA 180,14.9,176.4,91.0,4.3,6.2,9,164.0,146.0,19.0,0.693,46.39,1020,115.6,130.5,7.3,9.129,78.11,17.16,26.71,2,2.7,2.431,5639
IPE 160,15.8,160.0,82.0,5.0,7.4,9,145.2,127.2,20.1,0.623,39.5,869.2,108.6,123.8,6.5,9.657,68.31,16.66,26.09,1.8,3,3.54,3958
IPE A 160,12.7,157.0,82.0,4.0,5.9,9,145.2,127.2,16.2,0.619,48.74,689.2,87.8,99.09,6.5,7.801,54.42,13.27,20.69,1.8,2.6,1.934,3094
IPE AA 160,12.3,156.4,82.0,4.0,5.6,9,145.2,127.2,15.7,0.617,50.1,659,84.28,95.23,6.4,7.735,51.66,12.6,19.68,1.8,2.5,1.749,2925
IPE 140,12.9,140.0,73.0,4.7,6.9,7,126.2,112.2,16.4,0.551,42.73,541.2,77.31,88.34,5.7,7.642,44.91,12.3,19.24,1.6,2.6,2.399,1981
IPE A 140,10.5,137.4,73.0,3.8,5.6,7,126.2,112.2,13.4,0.547,52.03,434.8,63.29,71.59,5.6,6.213,36.42,9.979,15.52,1.6,2.3,1.338,1576
IPE AA 140,10.1,136.6,73.0,3.8,5.2,7,126.2,112.2,12.8,0.546,54.3,407.4,59.65,67.59,5.6,6.141,33.83,9.268,14.45,1.6,2.2,1.153,1455
IPE 120,10.4,120.0,64.0,4.4,6.3,7,107.4,93.4,13.2,0.475,45.81,317.7,52.95,60.72,4.9,6.305,27.66,8.646,13.58,1.4,2.5,1.69,889
IPE A 120,8.7,117.6,64.0,3.8,5.1,7,107.4,93.4,11.0,0.472,54.51,257.3,43.76,49.87,4.8,5.409,22.38,6.996,10.97,1.4,2.2,0.996,705
IPE AA 120,8.4,117.0,64.0,3.8,4.8,7,107.4,93.4,10.7,0.470,56.24,244.1,41.73,47.61,4.7,5.356,21.07,6.586,10.36,1.4,2.1,0.889,660
IPE 100,8.1,100.0,55.0,4.1,5.7,7,88.6,74.6,10.3,0.400,49.36,171,34.2,39.4,4,5.084,15.91,5.788,9.145,1.2,2.3,1.157,351
IPE A 100,6.9,98.0,55.0,3.6,4.7,7,88.6,74.6,8.8,0.397,57.6,141.1,28.8,32.98,4,4.437,13.12,4.771,7.537,1.2,2.1,0.726,283
IPE AA 100,6.7,97.6,55.0,3.6,4.5,7,88.6,74.6,8.6,0.396,58.93,135.8,27.84,31.9,3.9,4.402,12.56,4.569,7.234,1.2,2,0.672,270
IPE 80,6.0,80.0,46.0,3.8,5.2,5,69.6,59.6,7.6,0.328,54.67,80.13,20.03,23.21,3.2,3.577,8.489,3.69,5.817,1,2,0.672,117
IPE A 80,5.0,78.0,46.0,3.3,4.2,5,69.6,59.6,6.4,0.325,64.94,64.37,16.5,18.97,3.1,3.07,6.852,2.979,4.692,1,1.7,0.392,92
IPE AA 80,4.9,78.0,46.0,3.2,4.2,5,69.6,59.6,6.3,0.325,65.66,64.09,16.43,18.85,3.1,2.996,6.85,2.978,4.68,1,1.7,0.383,92
HE 1000 x 584,584.0,1056.0,314.0,36.0,64.0,30,928.0,868.0,743.7,3.244,5.556,1246070,23590,28030,40.9,403.2,33430,2129,3474,6.7,19.9,7153,81240000
HE 1000 x 494,494.0,1036.0,309.0,31.0,54.0,30,928.0,868.0,629.1,3.194,6.467,1027950,19840,23410,40.4,344.5,26820,1736,2818,6.5,17.4,4395,64010000
HE 1000 x 438,438.0,1026.0,305.0,26.9,49.0,30,928.0,868.0,556.0,3.167,7.253,909170,17720,20740,40.4,299.9,23350,1531,2462,6.4,16,3181,55290000
HE 1000 x 415,415.0,1020.0,304.0,26.0,46.0,30,928.0,868.0,528.7,3.152,7.595,853120,16720,19570,40.1,288.5,21700,1428,2297,6.4,15.3,2703,51080000
HE 1000 x 393,393.0,1016.0,303.0,24.4,43.9,30,928.0,868.0,500.2,3.144,8.006,807680,15890,18530,40.1,271.2,20490,1352,2167,6.4,14.7,2329,48080000
HE 1000 M,349.0,1008.0,302.0,21.0,40.0,30,928.0,868.0,444.2,3.130,8.976,722290,14330,16560,40.3,235,18450,1222,1939,6.4,13.6,1712,43010000
HE 1000 B,314.0,1000.0,300.0,19.0,36.0,30,928.0,868.0,400.0,3.110,9.903,644740,12890,14850,40.1,212.4,16270,1085,1716,6.3,12.6,1267,37630000
HE 1000 A,272.0,990.0,300.0,16.5,31.0,30,928.0,868.0,346.8,3.095,11.37,553840,11180,12820,39.9,184.5,14000,933.6,1469,6.3,11.3,834.8,32070000
HE 1000 x 249,249.0,980.0,300.0,16.5,26.0,30,928.0,868.0,316.8,3.075,12.36,481070,9817,11340,38.9,180.7,11750,783.6,1244,6,10.3,581.9,26620000
HE 1000 AA,222.0,970.0,300.0,16.0,21.0,30,928.0,868.0,282.2,3.056,13.79,406450,8380,9776,37.9,172.1,9500,633.3,1015,5.8,9.3,387,21270000
HE 900 x 466,466.0,938.0,312.0,30.0,54.0,30,830.0,770.0,593.7,3.012,6.463,814940,17370,20370,37,305.3,27550,1766,2831,6.8,17.3,4230,53400000
HE 900 x 391,391.0,922.0,307.0,25.0,46.0,30,830.0,770.0,497.7,2.970,7.602,674340,14620,16990,36.8,254.3,22320,1454,2312,6.6,15.2,2596,42550000
HE 900 M,333.0,910.0,302.0,21.0,40.0,30,830.0,770.0,423.6,2.934,8.823,570430,12530,14440,36.6,214.4,18450,1221,1928,6.5,13.6,1682,34740000
HE 900 B,291.0,900.0,300.0,18.5,35.0,30,830.0,770.0,371.3,2.911,9.988,494060,10970,12580,36.4,188.7,15810,1054,1658,6.5,12.3,1150,29460000
HE 900 A,252.0,890.0,300.0,16.0,30.0,30,830.0,770.0,320.5,2.896,11.51,422070,9484,10810,36.2,163.3,13540,903.1,1414,6.4,11.1,749,24960000
HE 900 AA,198.0,870.0,300.0,15.0,20.0,30,830.0,770.0,252.2,2.858,14.43,301140,6922,7998,34.5,147.2,9041,602.7,957.6,5.9,9,321.8,16250000
HE 800 x 444,444.0,842.0,313.0,30.0,54.0,30,734.0,674.0,566.0,2.824,6.356,634470,15070,17630,33.4,276.5,27800,1776,2827,7,17.3,4154,42840000
HE 800 x 373,373.0,826.0,308.0,25.0,46.0,30,734.0,674.0,474.6,2.782,7.467,523900,12680,14690,33.2,230.3,22520,1462,2311,6.8,15.2,2553,34070000
HE 800 M,317.0,814.0,303.0,21.0,40.0,30,734.0,674.0,404.3,2.746,8.653,442590,10870,12480,33,194.2,18620,1229,1930,6.7,13.6,1657,27770000
HE 800 B,262.0,800.0,300.0,17.5,33.0,30,734.0,674.0,334.2,2.713,10.34,359080,8977,10220,32.7,161.7,14900,993.5,1553,6.6,11.8,958.7,21840000
HE 800 A,224.0,790.0,300.0,15.0,28.0,30,734.0,674.0,285.8,2.698,12.02,303440,7682,8699,32.5,138.8,12630,842.5,1312,6.6,10.6,608.6,18290000
HE 800 AA,172.0,770.0,300.0,14.0,18.0,30,734.0,674.0,218.5,2.660,15.51,208880,5425,6224,30.9,123.8,8133,542.2,856.5,6.1,8.5,243,11450000
HE 700 x 418,418.0,744.0,313.0,29.5,54.0,27,636.0,582.0,531.9,2.635,6.311,472500,12700,14840,29.8,238.9,27760,1773,2796,7.2,16.9,3961,32840000
HE 700 x 352,352.0,728.0,308.0,25.0,46.0,27,636.0,582.0,448.6,2.592,7.36,389680,10700,12380,29.4,201.5,22500,1461,2292,7,14.8,2453,26040000
HE 700 M,301.0,716.0,304.0,21.0,40.0,27,636.0,582.0,383.0,2.560,8.514,329270,9197,10530,29.3,169.8,18790,1236,1928,7,13.2,1594,21390000
HE 700 B,241.0,700.0,300.0,17.0,32.0,27,636.0,582.0,306.4,2.520,10.48,256880,7339,8327,28.9,137,14440,962.7,1495,6.8,11.2,838.8,16060000
HE 700 A,204.0,690.0,300.0,14.5,27.0,27,636.0,582.0,260.5,2.505,12.25,215300,6240,7031,28.7,116.9,12170,811.9,1256,6.8,10,521.5,13350000
HE 700 AA,150.0,670.0,300.0,13.0,17.0,27,636.0,582.0,190.9,2.468,16.47,142720,4260,4840,27.3,100.3,7673,511.5,799.7,6.3,7.8,186.3,8155000
HE 650 x 407,407.0,696.0,314.0,29.5,54.0,27,588.0,534.0,518.8,2.543,6.244,405420,11650,13610,27.9,224.8,28010,1784,2803,7.3,16.9,3930,28710000
HE 650 x 343,343.0,680.0,309.0,25.0,46.0,27,588.0,534.0,437.5,2.500,7.279,333710,9815,11350,27.6,189.5,22710,1470,2299,7.2,14.8,2435,22730000
HE 650 M,293.0,668.0,305.0,21.0,40.0,27,588.0,534.0,373.7,2.468,8.412,281660,8433,9656,27.4,159.7,18970,1244,1935,7.1,13.2,1584,18640000
HE 650 B,225.0,650.0,300.0,16.0,31.0,27,588.0,534.0,286.3,2.422,10.78,210610,6480,7319,27.1,122,13980,932.2,1441,6.9,10.9,749.2,13360000
HE 650 A,190.0,640.0,300.0,13.5,26.0,27,588.0,534.0,241.6,2.407,12.69,175170,5474,6136,26.9,103.1,11720,781.5,1204,6.9,9.7,457.6,11020000
HE 650 AA,138.0,620.0,300.0,12.5,16.0,27,588.0,534.0,175.8,2.369,17.17,113940,3675,4159,25.4,90.39,7220,481.3,750.6,6.4,7.6,158.4,6566000
HE 600 x 399,399.0,648.0,315.0,30.0,54.0,27,540.0,486.0,508.5,2.450,6.138,344640,10630,12450,26,213.6,28280,1795,2813,7.4,16.9,3933,24810000
HE 600 x 337,337.0,632.0,310.0,25.5,46.0,27,540.0,486.0,429.2,2.407,7.145,283160,8960,10380,25.6,180.5,22930,1479,2309,7.3,14.9,2440,19600000
HE 600 M,285.0,620.0,305.0,21.0,40.0,27,540.0,486.0,363.7,2.372,8.309,237440,7659,8772,25.5,149.6,18970,1244,1930,7.2,13.2,1569,15900000
HE 600 B,212.0,600.0,300.0,15.5,30.0,27,540.0,486.0,270.0,2.323,10.96,171040,5701,6425,25.1,110.8,13530,902,1391,7,10.7,677.1,10960000
HE 600 A,178.0,590.0,300.0,13.0,25.0,27,540.0,486.0,226.5,2.308,12.98,141200,4786,5350,24.9,93.2,11270,751.4,1155,7,9.4,406.8,8978000
HE 600 AA,129.0,571.0,300.0,12.0,15.5,27,540.0,486.0,164.1,2.272,17.64,91870,3217,3623,23.6,81.28,6993,466.2,724.4,6.5,7.4,141.7,5380000
HE 550 M,278.0,572.0,306.0,21.0,40.0,27,492.0,438.0,354.4,2.280,8.196,197980,6922,7932,23.6,139.5,19150,1252,1937,7.3,13.2,1558,13510000
HE 550 B,199.0,550.0,300.0,15.0,29.0,27,492.0,438.0,254.1,2.224,11.15,136690,4970,5590,23.1,100,13070,871.7,1341,7.1,10.4,610.1,8855000
HE 550 A,166.0,540.0,300.0,12.5,24.0,27,492.0,438.0,211.8,2.209,13.29,111930,4145,4621,22.9,83.71,10810,721.2,1106,7.1,9.2,360.3,7188000
HE 550 AA,120.0,522.0,300.0,11.5,15.0,27,492.0,438.0,152.8,2.175,18.13,72870,2792,3127,21.8,72.66,6766,451.1,698.6,6.6,7.3,126.6,4337000
HE 500 M,270.0,524.0,306.0,21.0,40.0,27,444.0,390.0,344.3,2.184,8.081,161920,6180,7094,21.6,129.4,19150,1251,1932,7.4,13.2,1544,11180000
HE 500 B,187.0,500.0,300.0,14.5,28.0,27,444.0,390.0,238.6,2.125,11.34,107170,4287,4814,21.1,89.81,12620,841.5,1291,7.2,10.2,548.1,7017000
HE 500 A,155.0,490.0,300.0,12.0,23.0,27,444.0,390.0,197.5,2.110,13.61,86970,3549,3948,20.9,74.71,10360,691.1,1058,7.2,8.9,317.8,5643000
HE 500 AA,107.0,472.0,300.0,10.5,14.0,27,444.0,390.0,136.9,2.077,19.33,54640,2315,2576,19.9,61.9,6313,420.9,649.2,6.7,7,102.6,3303000
HE 450 M,263.0,478.0,307.0,21.0,40.0,27,398.0,344.0,335.4,2.096,7.96,131480,5501,6331,19.7,119.8,19330,1259,1939,7.5,13.2,1534,9251000
HE 450 B,171.0,450.0,300.0,14.0,26.0,27,398.0,344.0,218.0,2.026,11.84,79880,3550,3982,19.1,79.65,11720,781.4,1197,7.3,9.7,447.9,5258000
HE 450 A,140.0,440.0,300.0,11.5,21.0,27,398.0,344.0,178.0,2.011,14.39,63720,2896,3215,18.9,65.78,9465,631,965.5,7.2,8.5,250.1,4147000
HE 450 AA,99.7,425.0,300.0,10.0,13.5,27,398.0,344.0,127.1,1.984,19.89,41880,1971,2183,18.1,54.69,6087,405.8,624.3,6.9,6.8,91.39,2571000
HE 400 M,256.0,432.0,307.0,21.0,40.0,27,352.0,298.0,325.8,2.004,7.836,104110,4820,5570,17.8,110.1,19330,1259,1934,7.7,13.2,1520,7410000
HE 400 B,155.0,400.0,300.0,13.5,24.0,27,352.0,298.0,197.8,1.927,12.41,57680,2884,3231,17,69.97,10810,721.2,1104,7.3,9.3,361,3817000
HE 400 A,125.0,390.0,300.0,11.0,19.0,27,352.0,298.0,159.0,1.912,15.32,45060,2311,2561,16.8,57.32,8563,570.9,872.8,7.3,8,193.1,2942000
HE 400 AA,92.4,378.0,300.0,9.5,13.0,27,352.0,298.0,117.7,1.891,20.47,31250,1653,1824,16.2,47.95,5861,390.7,599.6,7,6.7,81.31,1948000
HE 360 M,250.0,395.0,308.0,21.0,40.0,27,315.0,261.0,318.8,1.934,7.728,84860,4297,4989,16.3,102.4,19520,1267,1942,7.8,13.2,1512,6137000
HE 360 B,142.0,360.0,300.0,12.5,22.5,27,315.0,261.0,180.6,1.849,13.04,43190,2399,2682,15.4,60.59,10140,676,1032,7.4,8.9,298.3,2883000
HE 360 A,112.0,350.0,300.0,10.0,17.5,27,315.0,261.0,142.8,1.834,16.37,33080,1890,2088,15.2,48.95,7886,525.7,802.2,7.4,7.6,153.3,2176000
HE 360 AA,83.7,339.0,300.0,9.0,12.0,27,315.0,261.0,106.6,1.814,21.68,23030,1359,1495,14.7,42.16,5410,360.6,552.9,7.1,6.4,67.13,1443000
HE 340 M,248.0,377.0,309.0,21.0,40.0,27,297.0,243.0,315.8,1.902,7.672,76370,4051,4717,15.5,98.62,19710,1275,1952,7.8,13.2,1511,5584000
HE 340 B,134.0,340.0,300.0,12.0,21.5,27,297.0,243.0,170.9,1.810,13.49,36650,2156,2408,14.6,56.08,9689,645.9,985.7,7.5,8.6,262.8,2453000
HE 340 A,105.0,330.0,300.0,9.5,16.5,27,297.0,243.0,133.5,1.795,17.13,27690,1678,1850,14.4,44.95,7435,495.7,755.9,7.4,7.4,131.4,1824000
HE 340 AA,78.9,320.0,300.0,8.5,11.5,27,297.0,243.0,100.5,1.777,22.52,19550,1222,1340,13.9,38.69,5184,345.6,529.2,7.1,6.3,60.01,1231000
HE 320 M,245.0,359.0,309.0,21.0,40.0,27,279.0,225.0,312.0,1.866,7.618,68130,3795,4435,14.7,94.84,19700,1275,1950,7.9,13.2,1506,5003000
HE 320 C,186.0,340.0,305.0,16.0,30.5,27,279.0,225.0,236.9,1.822,9.795,48710,2865,3274,14.3,72.24,14440,947.2,1445,7.8,10.8,688,3453000
HE 320 B,127.0,320.0,300.0,11.5,20.5,27,279.0,225.0,161.3,1.771,13.98,30820,1926,2149,13.8,51.77,9238,615.9,939,7.5,8.4,230.4,2068000
HE 320 A,97.6,310.0,300.0,9.0,15.5,27,279.0,225.0,124.4,1.756,17.99,22920,1479,1628,13.5,41.13,6985,465.6,709.7,7.4,7.1,111.8,1512000
HE 320 AA,74.2,301.0,300.0,8.0,11.0,27,279.0,225.0,94.6,1.740,23.44,16440,1092,1196,13.1,35.39,4959,330.6,505.7,7.2,6.1,53.58,1040000
HE 300 M,238.0,340.0,310.0,21.0,39.0,27,262.0,208.0,303.1,1.832,7.7,59200,3482,4077,13.9,90.52,19400,1251,1913,8,13,1410,4386000
HE 300 C,177.0,320.0,305.0,16.0,29.0,27,262.0,208.0,225.1,1.782,10.09,40950,2559,2926,13.4,68.47,13730,900.7,1374,7.8,10.5,604,2903000
HE 300 B,117.0,300.0,300.0,11.0,19.0,27,262.0,208.0,149.1,1.732,14.8,25160,1677,1868,12.9,47.42,8562,570.8,870.1,7.5,8,189.1,1687000
HE 300 A,88.3,290.0,300.0,8.5,14.0,27,262.0,208.0,112.5,1.717,19.44,18260,1259,1383,12.7,37.27,6309,420.6,641.1,7.4,6.8,87.76,1199000
HE 300 AA,69.8,283.0,300.0,7.5,10.5,27,262.0,208.0,88.9,1.705,24.43,13800,975.5,1065,12.4,32.36,4733,315.5,482.3,7.2,6,47.8,877100
HE 280 M,189.0,310.0,288.0,18.5,33.0,24,244.0,196.0,240.2,1.694,8.985,39540,2551,2965,12.8,72.02,13160,914,1396,7.4,11.2,807.2,2520000
HE 280 C,145.0,295.0,284.0,14.5,25.5,24,244.0,196.0,185.2,1.656,11.39,28800,1953,2225,12.4,56.26,9750,686.6,1047,7.2,9.3,384.8,1767000
HE 280 B,103.0,280.0,280.0,10.5,18.0,24,244.0,196.0,131.4,1.618,15.69,19270,1376,1534,12.1,41.09,6594,471,717.5,7,7.4,146,1130000
HE 280 A,76.4,270.0,280.0,8.0,13.0,24,244.0,196.0,97.3,1.603,20.99,13670,1012,1112,11.8,31.74,4762,340.1,518.1,6.9,6.2,63.45,785300
HE 280 AA,61.2,264.0,280.0,7.0,10.0,24,244.0,196.0,78.0,1.593,26.01,10550,799.8,873,11.6,27.52,3664,261.7,399.3,6.8,5.5,35.49,590100
HE 260 M,172.0,290.0,268.0,18.0,32.5,24,225.0,177.0,219.6,1.575,9.135,31300,2159,2523,11.9,66.89,10440,779.7,1192,6.8,11.1,720.1,1728000
HE 260 C,132.0,275.0,264.0,14.0,25.0,24,225.0,177.0,168.4,1.537,11.62,22590,1642,1880,11.5,51.94,7680,581.8,888.3,6.7,9.2,339.5,1197000
HE 260 B,93.0,260.0,260.0,10.0,17.5,24,225.0,177.0,118.4,1.499,16.12,14910,1147,1282,11.2,37.59,5134,394.9,602.2,6.5,7.3,126.6,753600
HE 260 A,68.2,250.0,260.0,7.5,12.5,24,225.0,177.0,86.8,1.484,21.77,10450,836.3,919.7,10.9,28.75,3667,282.1,430.1,6.4,6,54.19,516300
HE 260 AA,54.1,244.0,260.0,6.5,9.5,24,225.0,177.0,69.0,1.474,27.23,7980,654.1,714.4,10.7,24.74,2788,214.4,327.7,6.3,5.3,30.09,382500
HE 240 M,157.0,270.0,248.0,18.0,32.0,21,206.0,164.0,199.6,1.460,9.319,24280,1799,2116,11,60.06,8152,657.4,1005,6.3,10.6,626,1151000
HE 240 C,119.0,255.0,244.0,14.0,24.5,21,206.0,164.0,152.2,1.422,11.9,17320,1358,1563,10.6,46.34,5942,487,743.8,6.2,8.7,289.4,787800
HE 240 B,83.2,240.0,240.0,10.0,17.0,21,206.0,164.0,106.0,1.384,16.63,11250,938.2,1053,10.3,33.22,3922,326.8,498.4,6,6.8,103.8,486900
HE 240 A,60.3,230.0,240.0,7.5,12.0,21,206.0,164.0,76.8,1.369,22.7,7763,675,744.6,10,25.17,2768,230.7,351.6,6,5.6,42.14,328400
HE 240 AA,47.4,224.0,240.0,6.5,9.0,21,206.0,164.0,60.4,1.359,28.67,5835,520.9,570.5,9.8,21.54,2077,173,264.3,5.8,4.9,22.14,239600
HE 220 M,117.0,240.0,226.0,15.5,26.0,18,188.0,152.0,149.4,1.322,11.27,14600,1217,1419,9.8,45.31,5012,443.5,678.5,5.7,8.8,313,572600
HE 220 C,94.1,230.0,223.0,12.5,21.0,18,188.0,152.0,119.9,1.296,13.76,11170,972.1,1114,9.6,36.46,3887,348.6,532.3,5.6,7.5,167.8,423800
HE 220 B,71.5,220.0,220.0,9.5,16.0,18,188.0,152.0,91.0,1.270,17.77,8090,735.5,827,9.4,27.92,2843,258.4,393.8,5.5,6.2,77.02,295400
HE 220 A,50.5,210.0,220.0,7.0,11.0,18,188.0,152.0,64.3,1.255,24.85,5409,515.2,568.4,9.1,20.67,1954,177.6,270.5,5.5,5,28.61,193200
HE 220 AA,40.4,205.0,220.0,6.0,8.5,18,188.0,152.0,51.5,1.247,30.87,4170,406.8,445.4,9,17.63,1510,137.3,209.3,5.4,4.4,15.54,145600
HE 200 M,103.0,220.0,206.0,15.0,25.0,18,170.0,134.0,131.3,1.203,11.67,10640,967.4,1135,9,41.03,3651,354.4,543.2,5.2,8.6,257.5,346200
HE 200 C,81.9,210.0,203.0,12.0,20.0,18,170.0,134.0,104.4,1.177,14.36,8029,764.7,880.6,8.7,32.78,2794,275.2,420.9,5.1,7.3,134.7,251600
HE 200 B,61.3,200.0,200.0,9.0,15.0,18,170.0,134.0,78.1,1.151,18.78,5696,569.6,642.5,8.5,24.83,2003,200.3,305.8,5,6,59.7,171100
HE 200 A,42.3,190.0,200.0,6.5,10.0,18,170.0,134.0,53.8,1.136,26.88,3692,388.6,429.4,8.2,18.08,1335,133.5,203.8,4.9,4.7,21.04,108000
HE 200 AA,34.6,186.0,200.0,5.5,8.0,18,170.0,134.0,44.1,1.130,32.62,2944,316.5,347,8.1,15.45,1068,106.8,163.1,4.9,4.2,12.52,84490
HE 180 M,88.9,200.0,186.0,14.5,24.0,15,152.0,122.0,113.3,1.089,12.25,7483,748.3,883.4,8.1,34.65,2580,277.4,425.1,4.7,8,201.1,199300
HE 180 C,69.8,190.0,183.0,11.5,19.0,15,152.0,122.0,89.0,1.063,15.22,5543,583.4,675,7.8,27.29,1944,212.4,324.9,4.6,6.7,101.4,141800
HE 180 B,51.2,180.0,180.0,8.5,14.0,15,152.0,122.0,65.3,1.037,20.25,3831,425.6,481.4,7.6,20.24,1362,151.4,231,4.5,5.4,42.21,93740
HE 180 A,35.5,171.0,180.0,6.0,9.5,15,152.0,122.0,45.3,1.024,28.83,2510,293.6,324.8,7.4,14.47,924.6,102.7,156.4,4.5,4.2,14.88,60210
HE 180 AA,28.7,167.0,180.0,5.0,7.5,15,152.0,122.0,36.5,1.018,35.5,1966,235.5,258.2,7.3,12.15,729.9,81.1,123.5,4.4,3.7,8.314,46360
HE 160 M,76.2,180.0,166.0,14.0,23.0,15,134.0,104.0,97.1,0.970,12.73,5098,566.4,674.5,7.2,30.81,1758,211.8,325.4,4.2,7.7,160.5,108000
HE 160 C,59.2,170.0,163.0,11.0,18.0,15,134.0,104.0,75.4,0.944,15.96,3704,435.7,507.6,7,24.05,1302,159.8,244.8,4.1,6.4,78.69,75040
HE 160 B,42.6,160.0,160.0,8.0,13.0,15,134.0,104.0,54.3,0.918,21.56,2491,311.4,353.9,6.7,17.59,889.2,111.1,169.9,4,5.1,31.27,47940
HE 160 A,30.4,152.0,160.0,6.0,9.0,15,134.0,104.0,38.8,0.906,29.77,1672,220.1,245.1,6.5,13.21,615.5,76.94,117.6,3.9,4.1,12.09,31400
HE 160 AA,23.8,148.0,160.0,4.5,7.0,15,134.0,104.0,30.4,0.901,37.8,1282,173.3,190.4,6.5,10.37,478.7,59.84,91.36,3.9,3.6,6.431,23750
HE 140 M,63.2,160.0,146.0,13.0,22.0,12,116.0,92.0,80.6,0.857,13.55,3291,411.4,493.8,6.3,24.45,1144,156.7,240.5,3.7,7.1,118.6,54320
HE 140 C,48.2,150.0,143.0,10.0,17.0,12,116.0,92.0,61.5,0.831,17.23,2329,310.6,363.8,6.1,18.61,830.2,116.1,177.6,3.6,5.8,55.37,36630
HE 140 B,33.7,140.0,140.0,7.0,12.0,12,116.0,92.0,43.0,0.805,23.87,1509,215.6,245.4,5.9,13.07,549.6,78.52,119.7,3.5,4.5,20.15,22470
HE 140 A,24.7,133.0,140.0,5.5,8.5,12,116.0,92.0,31.4,0.794,32.2,1033,155.3,173.4,5.7,10.12,389.3,55.61,84.84,3.5,3.6,8.101,15060
HE 140 AA,18.1,128.0,140.0,4.3,6.0,12,116.0,92.0,23.0,0.787,43.54,719.4,112.4,123.7,5.5,7.922,274.8,39.26,59.93,3.4,3,3.433,10210
HE 120 M,52.1,140.0,126.0,12.5,21.0,12,98.0,74.0,66.4,0.738,14.16,2017,288.2,350.6,5.5,21.15,702.7,111.5,171.6,3.2,6.8,90.51,24780
HE 120 C,39.2,130.0,123.0,9.5,16.0,12,98.0,74.0,49.9,0.712,18.17,1388,213.5,252.8,5.2,15.9,497.6,80.92,124.1,3.1,5.5,40.72,16120
HE 120 B,26.7,120.0,120.0,6.5,11.0,12,98.0,74.0,34.0,0.686,25.7,864.3,144,165.2,5,10.96,317.5,52.92,80.96,3,4.2,13.93,9409
HE 120 A,19.9,114.0,120.0,5.0,8.0,12,98.0,74.0,25.3,0.677,34.04,606.1,106.3,119.4,4.8,8.456,230.8,38.48,58.85,3,3.5,6.041,6471
HE 120 AA,14.6,109.0,120.0,4.2,5.5,12,98.0,74.0,18.6,0.669,45.94,413.3,75.84,84.11,4.7,6.903,158.8,26.46,40.62,2.9,2.9,2.591,4242
