,e_true,Sigma_true
0,-1.58e-05,0.578174911
392,0.0001192,29.64681183
421,0.0002572,58.46588578
450,0.0003935,87.29875537
479,0.0005333,116.1040337
505,0.0006666,143.9988003
516,0.0008089,173.4386777
527,0.00095,202.395708
538,0.001087,230.9388693
549,0.001224,259.1647311
560,0.001359,287.0181108
572,0.001506,316.9684266
584,0.001651,346.3117345
596,0.001795,374.923874
609,0.001952,404.2809776
625,0.002167,432.1619486
626,0.002181,432.5482263
633,0.001983,396.1829419
688,0.00199,398.9144769
711,0.002026,398.1971041
727,0.002549,397.6176876
740,0.003112,398.1557172
749,0.003462,397.6728701
757,0.00379,398.8454988
765,0.004152,399.286959
775,0.004666,398.8041119
795,0.005781,399.0800245
806,0.006437,398.0039653
812,0.006805,397.8384177
826,0.00768,398.6109731
835,0.008229,398.4040386
849,0.009073,398.8868857
868,0.01023,398.5419949
877,0.01076,398.9696595
888,0.0112,398.6937468
916,0.01187,399.6042585
935,0.01222,398.6385643
945,0.01235,398.5971774
954,0.01243,399.0800245
972,0.01256,398.8868857
988,0.01265,397.8936002
1003,0.01272,398.8730901
1023,0.01277,395.3965909
1055,0.01304,403.7153567
1070,0.01332,407.5781335
1092,0.01384,410.7097418
1165,0.01549,418.1179958
1267,0.01777,427.6783684
1398,0.0205,438.1216613
1459,0.02179,442.9777236
1561,0.02396,450.4135689
1792,0.02844,464.5678867
1959,0.03182,474.1696461
2141,0.03549,483.4679017
2296,0.03866,490.4346955
2504,0.04268,498.3947748
2506,0.04272,498.463753
2507,0.0429645,503.4362504
2509,0.0430939,503.5357169
2518,0.0436829,503.9854544
2533,0.0446728,505.3176986
2597,0.0487198,512.1175653
2607,0.0495244,513.0718091
2612,0.0497031,513.7429666
2624,0.0506623,514.821509
2628,0.0507429,515.2664181
2642,0.051741,516.735239
2646,0.051874,517.1379335
2658,0.0528508,518.1295635
2671,0.0535791,519.3547535
2701,0.0556964,522.173201
2709,0.0565834,522.8018679
2717,0.0567886,523.5574546
2766,0.0601059,527.5936425
2844,0.0656015,533.118517
2871,0.0676387,534.8359351
2877,0.0678584,535.3180924
2887,0.0687891,535.8995783
2923,0.0711072,537.9773383
3011,0.0775691,542.5852172
3141,0.087256,547.8739104
3271,0.0972404,551.7684172
3331,0.1019539,553.2124059
3429,0.1099376,555.034119
3592,0.1233082,556.8559701
3751,0.1371633,557.5096071
3802,0.1416858,557.6213517
3872,0.148047,557.2684595
3995,0.159519,556.3663631
4077,0.1675807,555.2107031
4136,0.1735625,553.972959
4137,0.1736742,553.9804087
4159,0.1738441,537.0502719
4203,0.1737481,531.8683568
4331,0.1738762,526.8804084
4378,0.1737735,526.0079726
4492,0.1737934,524.5391518
4495,0.1731678,474.7754123
4506,0.1729062,396.9426674
4514,0.1727338,397.148912
4520,0.1728558,397.8796666
4533,0.1727463,398.1678574
4570,0.1728461,394.6114816
4577,0.1726855,392.8717145
4588,0.1728073,390.9803334
4613,0.1725921,389.108956
4656,0.1727782,389.5388279
4677,0.1725909,389.8048077
4687,0.1726955,389.7129288
4711,0.1725402,389.5811805
4712,0.1725528,389.5015797
4713,0.1730479,389.4171504
4714,0.1739344,445.8536988
4717,0.1739257,527.8296858
4723,0.1739319,517.7690836
4741,0.1738258,516.9365173
4810,0.1739841,515.3932
4843,0.1738393,514.8314419
4851,0.1739812,514.8239922
4892,0.1737721,514.4562007
4898,0.1739748,514.3393517
4902,0.1738093,514.3716335
4921,0.1739489,514.1976706
4963,0.1738142,514.0610938
5007,0.1740372,513.8149798
5018,0.1738701,513.8745769
5213,0.1738442,513.3949028
5241,0.17396,513.4397386
5262,0.1738646,513.3775203
5272,0.1740723,542.59515
5277,0.174519,554.6986093
5280,0.1748087,555.5437296
5288,0.1756954,555.5909107
5383,0.1855727,551.9076151
5428,0.1904838,549.1638019
5459,0.1939743,546.5939517
5491,0.1976188,543.0548205
5535,0.2024833,536.9459769
5560,0.2052379,532.6960947
5605,0.2103716,524.3776049
5633,0.2133826,518.2512409
5648,0.2153445,514.9681566
5670,0.2176602,509.6844298
5685,0.219537,505.9339494
5707,0.2219035,500.0164513
5710,0.2224165,499.1317375
5713,0.22256,498.3786339
5717,0.2231511,497.364655
5733,0.2248377,492.5803301
5743,0.2262103,489.6352387
5760,0.2281233,484.3190921
5782,0.2304304,477.0296185
5792,0.2317342,473.5030412
5801,0.2325966,470.4187519
5810,0.2337338,467.0908317
5836,0.2367848,456.9706325
5866,0.2403104,443.4131137
5873,0.2411059,437.5254141
5878,0.2418279,422.8098901
5881,0.2423374,399.3832525
5882,0.2428718,384.0885878
5883,0.245093,350.2957749
5886,0.2454017,150.4816434
5888,0.245717,135.5424922
5892,0.2463464,108.4750495
5898,0.24783,68.17580297
5902,0.2485637,24.61085455
5907,0.2491603,13.84943434
5913,0.2498641,6.550165779
5918,0.2504986,2.685457604
5920,0.2507138,0.175342475
