coordinate,residual_stress
4.20560747663551,12.5418380952381
14.9532710280374,20.280419047619
23.8317757009346,24.2831333333333
29.9065420560748,24.8168285714286
39.7196261682243,23.2157428571429
58.8785046728972,16.2777047619048
66.3551401869159,13.6092285714286
73.3644859813084,14.1429238095238
76.6355140186916,17.6119428571429
87.8504672897196,33.3559523809524
94.392523364486,38.1592095238095
100.467289719626,38.9597523809524
107.943925233645,32.8222571428571
112.616822429907,21.6146571428571
116.822429906542,4.00271428571429
121.028037383178,-8.00542857142857
127.570093457944,-16.0108571428571
135.046728971963,-24.5499809523809
140.654205607477,-29.0863904761905
146.261682242991,-31.2211714285714
153.271028037383,-30.6874761904762
161.214953271028,-27.2184571428571
171.028037383178,-20.0135714285714
185.046728971963,-13.0755333333333
196.728971962617,-10.9407523809524
