id,experimental_program,date,section_c,specimen_designation,d_c,k_c,k1_c,h_c,t_cw,h_over_t_cw,b_cf,t_cf,b_f_over_t_cf,a_cm,a_cn,i_xb,i_xc,s_xc,s_yc,z_xc,z_yc,j_c,c_wc,r_yc,r_xc,l_c,l_sc,l_bc,l_b_over_r_yc,k_xc,k_yc,lambda_xc,lambda_yc,lambda_ltb,steel_c,r_y,r_t,f_ymf,f_ymw,f_umf,f_umw,f_yn,f_un,e_nc,e_mc,g_nc,g_mc,boundary_condition,p_ym,p_yn,p_ye,lateral_lp,direction_lp,axis_of_bending,axial_lp,p_g,p_t,p_c,p_g_over_p_ym,p_g_over_p_yn,p_t_over_p_ym,p_c_over_p_ym,p_c_over_p_yn,p,t_top_plate,t_bottom_plate,test_procedure,comments,k_test,k_flexure_th,k_shear_th,k_theory,th_y,th_lb,th_80,th_50,th_20,th_1l,th_2l,th_3l,th_4l,th_6l,d_80,d_50,d_20,f_class_us,w_class_us,cs_class_us,f_class_eu,w_class_eu,cs_class_eu,cfe,reference,link,latitude,longitude
MacRae_CA,MacRae,1990,257 UC 73,CA,251.9,13.7,4.4,224.4,8.7,25.9,251.8,13.7,9.2,8861,9320,1.10E+08,36532268,844061,290204,932439,439386,486345,5.20E+11,64,110,835,835,835,13,0.7,0.5,5,7,0.07,250 UC 73,1.1,1.1,295,307,484,498,250,440,200000,200000,77200,76923,Fixed-Free,2664622,2330000,2563000,Symmetric,Unidirectional,Strong,Varying,762000,85000,1609000,0.29,0.33,0.03,0.6,0.69,1609000,35,35,First the required level of axial load was applied which is followed lateral loading. The load value of 0.6Hp was applied to keep the member elastic in first cycle.,Lateral load was applied using 1MN double-acting hydraulic ram.,630,764,1260,475,0.003,0.012,0.026,0.036,NA,0.015,0.028,0.034,0.034,NA,0.023,0.037,NA,compact,compact,compact,Class-2,Class-3,Class-3,no,"MacRae, G. A., A. J. Carr, and W. R. Walpole. 1990. The seismic response of steel frames. Rep. No. 90-6. Canterbury, New Zealand: Dept. of Civil Engineering, Univ. of Canterbury, New Zealand",https://ir.canterbury.ac.nz/handle/10092/7925,-43.5207,172.5758
Nakashima_et_al_S103200,Nakashima et. al,1990,Built Up S10,S103200,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1040,520,1040,41.3,0.5,0.5,12,21,0.17,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,0,NA,0,0,0,NA,0,0,0,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,16,42,212,35,0.014,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S103203,Nakashima et. al,1990,Built Up S10,S103203,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1040,520,1040,41.3,0.5,0.5,12,21,0.17,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,205500,NA,205500,0.32,0.37,NA,0.32,0.37,205500,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,42,212,35,0.01,0.144,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S103206,Nakashima et. al,1990,Built Up S10,S103206,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1040,520,1040,41.3,0.5,0.5,12,21,0.17,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,411000,NA,411000,0.63,0.73,NA,0.63,0.73,411000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,19,42,212,35,0.005,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S104402,Nakashima et. al,1990,Built Up S10,S104402,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1440,720,1440,57.1,0.5,0.5,17,29,0.21,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,137000,NA,137000,0.21,0.24,NA,0.21,0.24,137000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,22,31,294,28,0.009,0.157,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S104404,Nakashima et. al,1990,Built Up S10,S104404,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1440,720,1440,57.1,0.5,0.5,17,29,0.21,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,274000,NA,274000,0.42,0.49,NA,0.42,0.49,274000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,23,31,294,28,0.006,0.125,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S104406,Nakashima et. al,1990,Built Up S10,S104406,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1440,720,1440,57.1,0.5,0.5,17,29,0.21,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,411000,NA,411000,0.63,0.73,NA,0.63,0.73,411000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,24,31,294,28,0.004,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S105602,Nakashima et. al,1990,Built Up S10,S105602,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1840,920,1840,73,0.5,0.5,22,37,0.25,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,137000,NA,137000,0.21,0.24,NA,0.21,0.24,137000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,24,375,23,0.011,0.116,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S105604,Nakashima et. al,1990,Built Up S10,S105604,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1840,920,1840,73,0.5,0.5,22,37,0.25,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,274000,NA,274000,0.42,0.49,NA,0.42,0.49,274000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,21,24,375,23,0.007,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S105606,Nakashima et. al,1990,Built Up S10,S105606,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,1840,920,1840,73,0.5,0.5,22,37,0.25,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,205500,NA,205500,0.32,0.37,NA,0.32,0.37,205500,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,21,24,375,23,0.008,0.018,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S106802,Nakashima et. al,1990,Built Up S10,S106802,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,2240,1120,2240,88.9,0.5,0.5,27,44,0.29,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,137000,NA,137000,0.21,0.24,NA,0.21,0.24,137000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,17,20,457,19,0.012,0.1,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S106804,Nakashima et. al,1990,Built Up S10,S106804,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,2240,1120,2240,88.9,0.5,0.5,27,44,0.29,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,274000,NA,274000,0.42,0.49,NA,0.42,0.49,274000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,15,20,457,19,0.01,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
