id,experimental_program,date,section_c,specimen_designation,d_c,k_c,k1_c,h_c,t_cw,h_over_t_cw,b_cf,t_cf,b_f_over_t_cf,a_cm,a_cn,i_xb,i_xc,s_xc,s_yc,z_xc,z_yc,j_c,c_wc,r_yc,r_xc,l_c,l_sc,l_bc,l_b_over_r_yc,k_xc,k_yc,lambda_xc,lambda_yc,lambda_ltb,steel_c,r_y,r_t,f_ymf,f_ymw,f_umf,f_umw,f_yn,f_un,e_nc,e_mc,g_nc,g_mc,boundary_condition,p_ym,p_yn,p_ye,lateral_lp,direction_lp,axis_of_bending,axial_lp,p_g,p_t,p_c,p_g_over_p_ym,p_g_over_p_yn,p_t_over_p_ym,p_c_over_p_ym,p_c_over_p_yn,p,t_top_plate,t_bottom_plate,test_procedure,comments,k_test,k_flexure_th,k_shear_th,k_theory,th_y,th_lb,th_80,th_50,th_20,th_1l,th_2l,th_3l,th_4l,th_6l,d_80,d_50,d_20,f_class_us,w_class_us,cs_class_us,f_class_eu,w_class_eu,cs_class_eu,cfe,reference,link,latitude,longitude
Nakashima_et_al_S106806,Nakashima et. al,1990,Built Up S10,S106806,99.5,8.3,9.2,82.9,6.1,13.6,99.7,8.3,6,2159,2250,3.70E+06,1370837,75121,27499,85872,41973,44769,2.80E+09,25,42,2240,1120,2240,88.9,0.5,0.5,27,44,0.29,ASTM A36,1.3,1.2,300,300,420,420,250,400,200000,197000,77200,75769,Fixed-Fixed,647651,562500,731250,Monotonic,Unidirectional,Strong,Constant,411000,NA,411000,0.63,0.73,NA,0.63,0.73,411000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,15,20,457,19,0.006,0.029,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M103600,Nakashima et. al,1990,Built Up M10,M103600,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1040,520,1040,40.7,0.5,0.5,12,20,0.18,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,320,450,200000,188700,77200,72577,Fixed-Fixed,832080,748800,823680,Monotonic,Unidirectional,Strong,Constant,0,NA,0,0,0,NA,0,0,0,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,16,43,212,36,0.019,0.233,0.405,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M103603,Nakashima et. al,1990,Built Up M10,M103603,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1040,520,1040,40.7,0.5,0.5,12,20,0.18,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,279000,NA,279000,0.34,0.35,NA,0.34,0.35,279000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,43,212,36,0.012,0.137,0.217,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M103606,Nakashima et. al,1990,Built Up M10,M103606,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1040,520,1040,40.7,0.5,0.5,12,20,0.18,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.67,0.69,NA,0.67,0.69,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,21,43,212,36,0.005,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M105002,Nakashima et. al,1990,Built Up M10,M105002,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1440,720,1440,56.3,0.5,0.5,17,28,0.23,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,186000,NA,186000,0.22,0.23,NA,0.22,0.23,186000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,23,31,294,28,0.011,0.15,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M105004,Nakashima et. al,1990,Built Up M10,M105004,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1440,720,1440,56.3,0.5,0.5,17,28,0.23,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,372000,NA,372000,0.45,0.46,NA,0.45,0.46,372000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,23,31,294,28,0.008,0.113,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M105006,Nakashima et. al,1990,Built Up M10,M105006,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1440,720,1440,56.3,0.5,0.5,17,28,0.23,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.67,0.69,NA,0.67,0.69,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,24,31,294,28,0.004,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M106402,Nakashima et. al,1990,Built Up M10,M106402,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1840,920,1840,72,0.5,0.5,22,36,0.27,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,186000,NA,186000,0.22,0.23,NA,0.22,0.23,186000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,21,24,376,23,0.012,0.144,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M106404,Nakashima et. al,1990,Built Up M10,M106404,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1840,920,1840,72,0.5,0.5,22,36,0.27,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,372000,NA,372000,0.45,0.46,NA,0.45,0.46,372000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,24,376,23,0.01,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M106406,Nakashima et. al,1990,Built Up M10,M106406,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,1840,920,1840,72,0.5,0.5,22,36,0.27,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.67,0.69,NA,0.67,0.69,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,19,24,376,23,0.006,0.041,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M107802,Nakashima et. al,1990,Built Up M10,M107802,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,2240,1120,2240,87.6,0.5,0.5,27,44,0.31,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,186000,NA,186000,0.22,0.23,NA,0.22,0.23,186000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,21,20,457,19,0.012,0.084,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M107804,Nakashima et. al,1990,Built Up M10,M107804,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,2240,1120,2240,87.6,0.5,0.5,27,44,0.31,ASTM A572 Gr. 50,1.1,1.2,368,368,502,502,345,450,200000,188700,77200,72577,Fixed-Fixed,832080,807300,888030,Monotonic,Unidirectional,Strong,Constant,372000,NA,372000,0.45,0.46,NA,0.45,0.46,372000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,20,457,19,0.01,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M107806,Nakashima et. al,1990,Built Up M10,M107806,100,8.6,9.5,82.8,6.4,13,101,8.6,5.9,2261,2340,3.90E+06,1476815,78720,29244,90195,44648,50480,3.10E+09,26,42,2240,1120,2240,87.6,0.5,0.5,27,44,0.31,ASTM A36,1.3,1.2,368,368,502,502,345,400,200000,188700,77200,72577,Fixed-Fixed,832080,807300,1049490,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.67,0.69,NA,0.67,0.69,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,18,20,457,19,0.006,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S123200,Nakashima et. al,1990,Built Up S12,S123200,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1340,670,1340,42.6,0.5,0.5,13,21,0.18,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,0,NA,0,0,0,NA,0,0,0,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,31,74,386,62,0.013,0.25,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S123203,Nakashima et. al,1990,Built Up S12,S123203,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1340,670,1340,42.6,0.5,0.5,13,21,0.18,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,279000,NA,279000,0.31,0.36,NA,0.31,0.36,279000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,39,74,386,62,0.008,0.103,0.205,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S123206,Nakashima et. al,1990,Built Up S12,S123206,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1340,670,1340,42.6,0.5,0.5,13,21,0.18,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.62,0.72,NA,0.62,0.72,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,39,74,386,62,0.004,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S124402,Nakashima et. al,1990,Built Up S12,S124402,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1840,920,1840,58.5,0.5,0.5,17,29,0.23,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,186000,NA,186000,0.21,0.24,NA,0.21,0.24,186000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,42,54,530,49,0.009,0.117,0.245,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S124404,Nakashima et. al,1990,Built Up S12,S124404,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1840,920,1840,58.5,0.5,0.5,17,29,0.23,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,372000,NA,372000,0.41,0.48,NA,0.41,0.48,372000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,37,54,530,49,0.007,0.091,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S124406,Nakashima et. al,1990,Built Up S12,S124406,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,1840,920,1840,58.5,0.5,0.5,17,29,0.23,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.62,0.72,NA,0.62,0.72,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,40,54,530,49,0.004,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S125602,Nakashima et. al,1990,Built Up S12,S125602,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,2340,1170,2340,74.4,0.5,0.5,22,37,0.27,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,186000,NA,186000,0.21,0.24,NA,0.21,0.24,186000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,41,42,674,40,0.009,0.137,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S125604,Nakashima et. al,1990,Built Up S12,S125604,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,2340,1170,2340,74.4,0.5,0.5,22,37,0.27,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,372000,NA,372000,0.41,0.48,NA,0.41,0.48,372000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,41,42,674,40,0.006,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_S125606,Nakashima et. al,1990,Built Up S12,S125606,125,9.1,10.2,106.8,6.8,15.7,125,9.1,6.9,3004,3090,8.40E+06,2968293,133642,47493,151353,72406,75151,1.00E+10,31,53,2340,1170,2340,74.4,0.5,0.5,22,37,0.27,ASTM A36,1.3,1.2,301,301,421,421,250,400,200000,197300,77200,75885,Fixed-Fixed,904085,772500,1004250,Monotonic,Unidirectional,Strong,Constant,558000,NA,558000,0.62,0.72,NA,0.62,0.72,558000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,40,42,674,40,0.004,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M123500,Nakashima et. al,1990,Built Up M12,M123500,126,9.3,10.1,107.3,6.8,15.9,125,9.3,6.7,3057,3150,8.70E+06,3039860,137302,48638,155510,74113,79641,1.00E+10,32,53,1340,670,1340,42.5,0.5,0.5,13,21,0.2,ASTM A572 Gr. 50,1.1,1.2,377,377,518,518,345,450,200000,212200,77200,81615,Fixed-Fixed,1152506,1086750,1195425,Monotonic,Unidirectional,Strong,Constant,0,NA,0,0,0,NA,0,0,0,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,34,82,415,69,0.015,0.141,0.205,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M123503,Nakashima et. al,1990,Built Up M12,M123503,126,9.3,10.1,107.3,6.8,15.9,125,9.3,6.7,3057,3150,8.70E+06,3039860,137302,48638,155510,74113,79641,1.00E+10,32,53,1340,670,1340,42.5,0.5,0.5,13,21,0.2,ASTM A572 Gr. 50,1.1,1.2,377,377,518,518,345,450,200000,212200,77200,81615,Fixed-Fixed,1152506,1086750,1195425,Monotonic,Unidirectional,Strong,Constant,352500,NA,352500,0.31,0.32,NA,0.31,0.32,352500,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,43,82,415,69,0.009,0.108,0.192,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M123506,Nakashima et. al,1990,Built Up M12,M123506,126,9.3,10.1,107.3,6.8,15.9,125,9.3,6.7,3057,3150,8.70E+06,3039860,137302,48638,155510,74113,79641,1.00E+10,32,53,1340,670,1340,42.5,0.5,0.5,13,21,0.2,ASTM A572 Gr. 50,1.1,1.2,377,377,518,518,345,450,200000,212200,77200,81615,Fixed-Fixed,1152506,1086750,1195425,Monotonic,Unidirectional,Strong,Constant,705000,NA,705000,0.61,0.65,NA,0.61,0.65,705000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,43,82,415,69,0.005,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
Nakashima_et_al_M124802,Nakashima et. al,1990,Built Up M12,M124802,126,9.3,10.1,107.3,6.8,15.9,125,9.3,6.7,3057,3150,8.70E+06,3039860,137302,48638,155510,74113,79641,1.00E+10,32,53,1840,920,1840,58.4,0.5,0.5,17,29,0.25,ASTM A572 Gr. 50,1.1,1.2,377,377,518,518,345,450,200000,212200,77200,81615,Fixed-Fixed,1152506,1086750,1195425,Monotonic,Unidirectional,Strong,Constant,235000,NA,235000,0.2,0.22,NA,0.2,0.22,235000,30,30,First the required level of axial load was applied followed lateral loading. ,Rotation along both strong and weak axis as well as torsion were prevented,54,60,569,54,0.009,0.105,0.22,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,compact,compact,compact,Class-1,Class-1,Class-1,no,"Nakashima, M., K. Takanashi, and H. Kato. 1990. “Test of steel beam-columns subject to sidesway.” ASCE Journal of Structural Engineering, 116 (9): 2516–2531.",https://doi.org/10.1061/(ASCE)0733-9445(1990)116:9(2516),35.0262,135.7808
