Elongation [mm],Load [kN]
1.566,3.51233174
1.572,3.47840357
1.578,3.44461744
1.584,3.41097423
1.59,3.3774751299999997
1.596,3.34412115
1.602,3.31091336
1.608,3.27785272
1.614,3.24473312
1.62,3.21217366
1.626,3.17935224
1.632,3.14709238
1.638,3.11477893
1.644,3.0826176999999997
1.65,3.0506098600000002
1.656,3.0187569
1.662,2.98706059
1.668,2.95552288
1.674,2.92414627
1.68,2.89293334
1.686,2.8616797700000003
1.692,2.8310044
1.698,2.8002943
1.704,2.76975506
1.71,2.7393908000000002
1.716,2.70899671
1.722,2.67918982
1.728,2.64935674
1.734,2.6197014600000004
1.74,2.59001983
1.746,2.56071629
1.752,2.5318004999999997
1.758,2.50265544
1.764,2.47389021
1.77,2.4455170600000002
1.776,2.4169222
1.782,2.38892016
1.788,2.36070579
1.794,2.33308945
1.8,2.30546871
1.806,2.27804866
1.812,2.2506282900000003
1.818,2.22381224
1.824,2.19700114
1.83,2.17039536
1.836,2.1439961800000003
1.842,2.11780499
1.848,2.0918253300000003
1.854,2.06606136
1.86,2.04051884
1.866,2.01520193
1.872,1.9901113700000002
1.878,1.96525007
1.884,1.94062037
1.89,1.91603116
1.896,1.89187186
1.902,1.86795817
1.908,1.84429614
1.914,1.82089148
1.92,1.79775001
1.926,1.77487838
1.932,1.75228743
1.938,1.73018289
1.944,1.70818976
1.95,1.68651512
1.956,1.66497339
1.962,1.64393587
1.968,1.6232109000000001
1.974,1.6027925600000001
1.98,1.58267471
1.986,1.5628502599999998
1.992,1.54331382
1.998,1.52405958
2.004,1.5050800899999999
2.01,1.4863689
2.016,1.46792424
2.022,1.44974262
2.028,1.4318207299999999
2.034,1.41415416
2.04,1.39673936
