Elongation [mm],Load [kN]
0.588,7.5886698
0.5964,7.57748119
0.6048,7.565812520000001
0.6132,7.5536711500000004
0.6216,7.54106461
0.63,7.52800004
0.6384,7.51448428
0.6468,7.50052426
0.6552,7.486126570000001
0.6636,7.4712976200000005
0.672,7.45604381
0.6804,7.4403711
0.6888,7.42428574
0.6972,7.40779356
0.7056,7.39090007
0.714,7.37361106
0.7224,7.35593193
0.7308,7.337868070000001
0.7392,7.319424519999999
0.7476,7.30060662
0.756,7.28141899
0.7644,7.26186665
0.7728,7.241954499999999
0.7812,7.22168699
0.7896,7.201068599999999
0.798,7.180103890000001
0.8064,7.15879718
0.8148,7.137152769999999
0.8232,7.11517479
0.8316,7.092867350000001
0.84,7.07023454
0.8316,5.48766543
0.8232,3.90350507
0.8148,2.31776759
0.8064,0.74272984
0.798,-0.73279205
0.7896,-1.87680167
0.7812,-2.58271104
0.7728,-3.12566039
0.7644,-3.55828592
0.756,-3.90953936
0.7476,-4.19759288
0.7392,-4.43567085
0.7308,-4.634418579999999
0.7224,-4.80260613
0.714,-4.94737848
0.7056,-5.07425633
0.6972,-5.18761373
0.6888,-5.29069464
0.6804,-5.38589243
0.672,-5.4749612800000005
0.6636,-5.559169310000001
0.6552,-5.63953742
0.6468,-5.71661809
0.6384,-5.79099394
0.63,-5.8630642900000005
0.6216,-5.93306563
0.6132,-6.00144333
0.6048,-6.06819034
0.5964,-6.13351754
0.588,-6.197481300000001
0.5796,-6.26034315
0.5712,-6.32212263
0.5628,-6.382883799999999
0.5544,-6.44269798
0.546,-6.501617820000001
0.5376,-6.55978997
0.5292,-6.617021759999999
0.5208,-6.6735792400000005
0.5124,-6.72943241
0.504,-6.7845998
0.4956,-6.839197240000001
0.4872,-6.89304085
0.4788,-6.94636322
0.4704,-6.9991175199999995
0.462,-7.0513309600000005
0.4536,-7.10302089
0.4452,-7.1542127
0.4368,-7.20492405
0.4284,-7.2551720500000005
0.42,-7.30496353
0.4116,-7.35429389
0.4032,-7.40317821
0.3948,-7.45163857
0.3864,-7.49967572
0.378,-7.547382440000001
0.3696,-7.59449925
0.3612,-7.64134624
0.3528,-7.6876456399999995
