column_name,description,symbol,unit,type,example_value,nullable,group
id,Unique identifier for the specimen,,-,String,Yamada_et_al_2012__No-1,False,Experimental program details
date,Year of the experiment,,-,SmallInteger,2012,False,Experimental program details
investigator,Names of researchers who conducted the study,,-,String,Yamada,False,Experimental program details
reference,Citation of the source publication,,-,String,"Yamada, S., Ishida, T., & Shimada, Y. (2012)...",False,Experimental program details
url,URL to the source document,,-,String,https://doi.org/10.3130/aijs.77.627,True,Experimental program details
test_configuration,Type of test setup configuration,,-,String,DC,False,Specimen details
stiffness_coefficient,Stiffness coefficient for boundary conditions,,-,SmallInteger,3,False,Specimen details
test_type,Type of loading test,,-,String,Cyclic,False,Specimen details
loading_protocol,Description of loading sequence,,-,String,Symmetric,False,Loading details
forming_process,Manufacturing process of the HSS section,,-,String,Cold,False,Specimen details
seams,Presence of seam welds,,-,String,NR,True,Specimen details
tube_section,HSS section designation,,-,String,HSS-125x125x4.5,False,Steel profile
width__mm,Width of HSS section,,mm,DecimalFloat,125,True,Section properties
depth__mm,Depth of HSS section,,mm,DecimalFloat,125,True,Section properties
flange_thickness__mm,Thickness of HSS flange,,mm,DecimalFloat,4.5,True,Section properties
web_thickness__mm,Thickness of HSS web,,mm,DecimalFloat,4.5,True,Section properties
area__mm2,Cross-sectional area,,mm²,DecimalFloat,2116.85,True,Section properties
moment_of_inertia__mm4,Strong-axis moment of inertia,,mm⁴,DecimalFloat,5062047.74,True,Section properties
radius__mm,Radius of gyration,,mm,DecimalFloat,48.9,True,Section properties
depth_over_t,Depth-to-thickness ratio,,-,DecimalFloat,27.78,True,Section properties
plastic_section_modulus__mm3,Plastic section modulus,,mm³,DecimalFloat,98057.25,True,Section properties
axial_load_ratio,Applied axial load ratio,,-,DecimalFloat,0,True,Loading details
axial_load_sequence,Description of axial load application,,-,String,Constant,False,Loading details
loading_angle,Angle of applied loading,,degrees,SmallInteger,0,True,Loading details
steel_type,Steel grade designation,,-,String,STKR400,False,Material properties
fy_nominal__n_mm2,Nominal yield strength,,N/mm²,DecimalFloat,245,True,Material properties
fy_measured__n_mm2,Measured yield strength,,N/mm²,DecimalFloat,367,True,Material properties
f_ultimate__n_mm2,Measured ultimate strength,,N/mm²,DecimalFloat,436.9,True,Material properties
mp_measured__knmm,Measured plastic moment,,kN·mm,DecimalFloat,35987.01,True,Measured response
length__mm,Length of specimen,,mm,DecimalFloat,742,True,Section properties
ke_measured__knmm_rad,Measured elastic rotational stiffness,,kN·mm/rad,DecimalFloat,3512579.15,True,Measured response
my_pos_100fit__knmm,Positive yield moment (100% fit),,kN·mm,DecimalFloat,33451.2,True,Backbone parameters (100% fit)
my_neg_100fit__knmm,Negative yield moment (100% fit),,kN·mm,DecimalFloat,36096.14,True,Backbone parameters (100% fit)
theta_p_pos_100fit__rad,Positive plastic rotation (100% fit),,rad,DecimalFloat,0.026,True,Backbone parameters (100% fit)
theta_pc_pos_100fit__rad,Positive post-capping rotation (100% fit),,rad,DecimalFloat,0.096,True,Backbone parameters (100% fit)
theta_u_pos_100fit__rad,Positive ultimate rotation (100% fit),,rad,DecimalFloat,0.117,True,Backbone parameters (100% fit)
theta_p_neg_100fit__rad,Negative plastic rotation (100% fit),,rad,DecimalFloat,0.007,True,Backbone parameters (100% fit)
theta_pc_neg_100fit__rad,Negative post-capping rotation (100% fit),,rad,DecimalFloat,0.114,True,Backbone parameters (100% fit)
theta_u_neg_100fit__rad,Negative ultimate rotation (100% fit),,rad,DecimalFloat,0.103,True,Backbone parameters (100% fit)
mc_my_pos_100fit,Positive capping moment ratio (100% fit),,-,DecimalFloat,1.124,True,Backbone parameters (100% fit)
mu_mc_pos_100fit,Positive ultimate moment ratio (100% fit),,-,DecimalFloat,0.358,True,Backbone parameters (100% fit)
mc_my_neg_100fit,Negative capping moment ratio (100% fit),,-,DecimalFloat,1.08,True,Backbone parameters (100% fit)
mu_mc_neg_100fit,Negative ultimate moment ratio (100% fit),,-,DecimalFloat,0.369,True,Backbone parameters (100% fit)
my_pos_80fit__knmm,Positive yield moment (80% fit),,kN·mm,DecimalFloat,31859.1,True,Backbone parameters (80% fit)
my_neg_80fit__knmm,Negative yield moment (80% fit),,kN·mm,DecimalFloat,31648.92,True,Backbone parameters (80% fit)
theta_p_pos_80fit__rad,Positive plastic rotation (80% fit),,rad,DecimalFloat,0.042,True,Backbone parameters (80% fit)
theta_pc_pos_80fit__rad,Positive post-capping rotation (80% fit),,rad,DecimalFloat,0.064,True,Backbone parameters (80% fit)
theta_u_pos_80fit__rad,Positive ultimate rotation (80% fit),,rad,DecimalFloat,0.117,True,Backbone parameters (80% fit)
theta_p_neg_80fit__rad,Negative plastic rotation (80% fit),,rad,DecimalFloat,0.032,True,Backbone parameters (80% fit)
theta_pc_neg_80fit__rad,Negative post-capping rotation (80% fit),,rad,DecimalFloat,0.066,True,Backbone parameters (80% fit)
theta_u_neg_80fit__rad,Negative ultimate rotation (80% fit),,rad,DecimalFloat,0.103,True,Backbone parameters (80% fit)
mc_my_pos_80fit,Positive capping moment ratio (80% fit),,-,DecimalFloat,1.21,True,Backbone parameters (80% fit)
mu_mc_pos_80fit,Positive ultimate moment ratio (80% fit),,-,DecimalFloat,0.3,True,Backbone parameters (80% fit)
mc_my_neg_80fit,Negative capping moment ratio (80% fit),,-,DecimalFloat,1.19,True,Backbone parameters (80% fit)
mu_mc_neg_80fit,Negative ultimate moment ratio (80% fit),,-,DecimalFloat,0.36,True,Backbone parameters (80% fit)
lambda_s,Slenderness ratio (strong axis),,-,DecimalFloat,0.749,True,Section properties
lambda_c,Slenderness ratio (weak axis),,-,DecimalFloat,0.749,True,Section properties
flexural_buckling,Indication of flexural buckling occurrence,,-,String,False,False,Specimen details
latitude,Geographical latitude of testing facility,,degrees,DecimalFloat,45.505,True,Experimental program details
longitude,Geographical longitude of testing facility,,degrees,DecimalFloat,-73.614,True,Experimental program details
