data_ind,gamma_t,V
0,0.0,0.0
1,0.0005370163702906,4.852527
2,0.001074033186092,9.705055
3,0.0016110495563827,14.55758
4,0.0021480659266733,19.41011
5,0.0026850827424747,24.26264
6,0.0021852691887027,19.39013
7,0.0016854560804414,14.51761
8,0.0011856425266693,9.645103
9,0.000685829418408,4.772592
10,0.0001860159982892,-0.09991948
11,-0.0003137973327274,-4.972431
12,-0.0008136107973973,-9.844942
13,-0.0013134239056586,-14.71745
14,-0.0018132374594306,-19.58996
15,-0.0013275287744223,-14.71027
16,-0.0008418196439032,-9.830579
17,-0.0003561110925481,-4.950887
18,0.0001295975924601,-0.07119396
19,0.0006153064111217,4.808499
20,0.00110101509613,9.688191
21,0.0015867237811384,14.56788
22,0.002558141151155,24.32727
23,0.0035295585211717,34.08665
24,0.0045009767822098,43.84604
25,0.0054723950432479,53.60543
26,0.0045154202391055,43.83885
27,0.0035584440984311,34.07228
28,0.0026014692942887,24.30571
29,0.0016444944901464,14.53914
30,0.000687519686004,4.772566
31,-0.0002694548508318,-4.994005
32,-0.0012264294767699,-14.76058
33,-0.0021834042809123,-24.52715
34,-0.0031403790850546,-34.29372
35,-0.004097353889197,-44.06029
36,-0.0026645335614348,-29.40913
37,-0.0012317136791832,-14.75797
38,0.0002011065149257,-0.1068104
39,0.0016339265308304,14.54435
40,0.0030667468585926,29.19551
41,0.0044995689683976,43.84667
42,0.0059323848410529,58.49783
43,0.0073652051688151,73.14899
44,0.008033854358097,79.9862
45,0.006150738545363,60.43797
46,0.0042676209505861,40.88973
47,0.0023845033558093,21.34149
48,0.0005013853155218,1.793257
49,-0.0004401733927644,-7.980861
50,-0.0023232910766434,-27.5291
51,-0.0042064086714202,-47.07733
52,-0.0060895253751756,-66.62557
53,-0.0042708852074854,-47.0466
54,-0.0024522441487738,-27.46763
55,-0.0006336026445515,-7.88866
56,0.0011850384141601,11.69031
57,0.0030036799183824,31.26928
58,0.0048223191950512,50.84825
59,0.0066409606992735,70.42722
60,0.0084596022034959,90.00619
61,0.0093689251831605,99.79567
62,0.0107329051975505,114.4799
63,0.009029530676753,94.84877
64,0.0073261517008484,75.21763
65,0.0056227771800509,55.5865
66,0.0039193990951677,35.95536
67,0.0022160227923274,16.32423
68,0.000512646489487,-3.306904
69,-0.0011907302588639,-22.93804
70,-0.0028941065617043,-42.56917
71,-0.0045974833100554,-62.20031
72,-0.0063008578308529,-81.83144
73,-0.0080042368067575,-101.4626
74,-0.0088559240671562,-111.2781
75,-0.0061979626795686,-81.87736
76,-0.0035400008464703,-52.47659
77,-0.000882039013372,-23.07581
78,0.0017759228197263,6.324964
79,0.0044338846528246,35.72574
80,0.0070918442583694,65.12652
81,0.0097498101010641,94.52729
82,0.0124077714886517,123.9281
83,0.0150657328762393,153.3288
84,0.0177236942638269,182.7296
85,0.0198166545265,192.7711
86,0.0222080624071388,204.932
87,0.0216503231066352,184.9712
88,0.0210925882612385,165.0104
89,0.0205348489607349,145.0497
90,0.0199771141153382,125.0889
91,0.0194193748148346,105.1281
92,0.0188616355143309,85.16733
93,0.0176294197445887,65.3595
94,0.0163972039748464,45.55167
95,0.0151649882051042,25.74384
96,0.0139327724353619,5.936015
97,0.0127005566656197,-13.87181
98,0.0114683408958774,-33.67964
99,0.0102361251261352,-53.48747
100,0.0067406570837315,-79.72493
101,0.002950156262878,-94.27108
102,-0.0028353423638352,-115.9784
103,-0.0067255854567487,-141.7139
104,-0.013807837869746,-173.9392
105,-0.017498582162197,-187.1427
106,-0.018795334611949,-190.9471
107,-0.0179874989697565,-161.0019
108,-0.0171796633275639,-131.0568
109,-0.0163718276853714,-101.1116
110,-0.0155639920431788,-71.16646
111,-0.0147561564009863,-41.22131
112,-0.0124788660861662,-11.66
113,-0.010201571316239,17.90131
114,-0.0079242765463119,47.46263
115,-0.0036269582979709,76.3273
116,0.001271364131488,100.5486
117,0.0058697905876954,118.7146
118,0.0096684910329833,137.3291
119,0.0129673685687746,159.3077
120,0.0186654192367065,188.0144
121,0.0222641833900245,204.3862
122,0.0213368172270077,174.4585
123,0.0204094466088839,144.5308
124,0.0194820759907601,114.6031
125,0.0185547053726362,84.67541
126,0.0167660645589555,51.65745
127,0.0150172657671805,23.57914
128,0.0134160824907612,-4.080966
129,0.0114946616680366,-27.07118
130,0.0105339534842278,-47.90606
