data_ind,gamma_t,V
0,0.0,0.0
1,1.1039999999999813e-07,0.4538342569999987
2,1.1039999999999813e-07,0.6051138250000001
3,1.56154e-05,1.0589436340000002
4,-1.5283999999999998e-05,1.512777892999999
5,-1.5283999999999998e-05,-7.71517792
6,3.11203e-05,-15.178226192
7,3.1009799999999996e-05,-21.531901337
8,3.11203e-05,-26.120664507
9,-0.0001383292,-47.904695497
10,-0.000261273,-80.126905497
11,-0.000323273,-100.34772910699999
12,-0.000354273,-100.398158597
13,-0.000369273,-109.676539487
14,-0.000555273,-151.22755978700002
15,-0.000724273,-194.644342187
16,-0.000956273,-237.304735687
17,-0.001141273,-264.93817808700004
18,-0.001311273,-308.657515187
19,-0.001573273,-349.351296487
20,-0.001867273,-387.927181587
21,-0.002083273,-424.13304538700004
22,-0.002345273,-440.168510587
23,-0.002407273,-449.194766287
24,-0.002407273,-459.834649887
25,-0.002407273,-458.775706287
26,-0.002577273,-489.686838587
27,-0.002808273,-520.295420587
28,-0.003210273,-547.475028687
29,-0.003287273,-547.8784378869999
30,-0.003426273,-550.8031435869999
31,-0.003427273,-482.425494887
32,-0.003443273,-481.416976287
33,-0.003412273,-481.669105887
34,-0.003427273,-481.669105887
35,-0.003427273,-498.259259887
36,-0.003427273,-515.000689087
37,-0.003504273,-530.2797652869999
38,-0.0034732730000000002,-530.531894987
39,-0.003489273,-540.1128349869999
40,-0.0035972730000000002,-553.727853787
41,-0.003581273,-556.097875187
42,-0.003797273,-567.645427287
43,-0.0038752730000000003,-573.091433887
44,-0.003983273,-570.469282887
45,-0.004014273,-569.4103392869999
46,-0.004075273,-568.8556504869999
47,-0.004122273,-568.1496865869999
48,-0.004060273,-536.7342905869999
49,-0.003983273,-486.560428187
50,-0.0037672730000000002,-434.066965087
51,-0.003659273,-383.08628438700003
52,-0.003444273,-332.609862887
53,-0.003321273,-283.343669087
54,-0.003151273,-235.590248687
55,-0.002842273,-188.088962487
56,-0.002580273,-140.94065588700002
57,-0.002364273,-96.616204967
58,-0.0021792730000000002,-55.922428097
59,-0.002102273,-24.254902437
60,-0.001932273,-3.1768397990000006
61,-0.001823273,11.648406663000001
62,-0.001793273,14.976521582999998
63,-0.0016852730000000002,16.489299473000003
64,-0.001623273,27.986426573000003
65,-0.001468273,41.601445383
66,-0.001391273,63.385476373
67,-0.0011442730000000001,97.624728013
68,-0.000990273,135.04081501299999
69,-0.000912273,146.03368281299998
70,-0.000819273,169.02793701299998
71,-0.000541273,208.91489541299998
72,-0.000294273,248.34802401299999
