data_ind,gamma_t,V
0,0.0,0.0
1,0.000139021279856,17.690100768
2,0.0002780425271916,35.380201536
3,0.0004170637420067,53.070288960000006
4,0.0005560849893423,70.76038528000001
5,0.0006951062366779,88.45052608
6,0.0008341274840135,106.1406224
7,0.0009731490565541,123.83071872
8,0.0011121703038897,141.52081504
9,0.0012511915512253,159.21091136
10,0.0013902127985609,176.90100768000002
11,0.0015292340458965,194.591104
12,0.0014014948114188,176.88512832
13,0.001273755902146,159.17910816000003
14,0.0011460166676682,141.47308800000002
15,0.0010182777583955,123.76706784
16,0.0008905385239177,106.06109216000002
17,0.00076279928944,88.355072
18,0.0006350603801672,70.64905184000001
19,0.0005073211456895,52.94303168
20,0.0003795822364167,35.23704265600001
21,0.0002518430344595,17.53103584
22,0.0001241039300637,-0.17497115392
23,-3.635151567657345e-06,-17.880977792000003
24,-0.0001313742462072,-35.586989056
25,-0.000259113350603,-53.29300032
26,-0.0003868525200397,-70.99902048
27,-0.0005145914293125,-88.70499616000001
28,-0.0006423306637902,-106.41101632
29,-0.000770069573063,-124.11703648
30,-0.0008978088075408,-141.82301216000002
31,-0.0010255480420185,-159.52903232000003
32,-0.0008580115169409,-137.4073936
33,-0.0006904749918633,-115.28575488
34,-0.0005229387919907,-93.16416064
35,-0.0003554022669131,-71.04252192000001
36,-0.0001878660019996,-48.920883200000006
37,-2.0329610256082048e-05,-26.799235584
38,0.000147206755471,-4.677601312000001
39,0.0003147431504666,17.44403296
40,0.0004822793828597,39.565667232
41,0.0006498159079373,61.68731040000001
42,0.0008173524330149,83.80894912000001
43,0.0009848886328874,105.93058784
44,0.001152425157965,128.05218208
45,0.0013199613578376,150.1738208
46,0.0014874978829152,172.29545952
47,0.0016298404492096,194.4501024
48,0.0017721833407089,216.6047008
49,0.0019145259070033,238.75934368
50,0.0020838562630195,260.87840256000004
51,0.0022531862938308,282.99750592000004
52,0.002422516649847,305.11656480000005
53,0.0025918466806582,327.23566816000005
54,0.0027611770366745,349.35472704
55,0.0029305070674857,371.4738304
56,0.003099837423502,393.59288928000007
57,0.0029457910534275,371.4529248
58,0.002791745008558,349.31296032
59,0.0026376986384836,327.17299584000006
60,0.0024836525936141,305.03298688000007
61,0.0023296062235396,282.89302240000006
62,0.0021755601786702,260.75305792
63,0.0020215138085957,238.61309344000003
64,0.0018674677637263,216.47312896000005
65,0.0017134213936518,194.33316448
66,0.0015593753487823,172.19320000000002
67,0.0014053289787079,150.05323552000002
68,0.0012512829338384,127.91322656
69,0.0010972365637639,105.77326208
70,0.0009431905188945,83.6332976
71,0.000789144474025,61.49333312
72,0.0006350981039506,39.353364192
73,0.0004810520590811,17.213395264000003
