data_ind,gamma_t,V
0,0.0,0.0
1,0.0,-0.0006370829999999827
2,0.0,-0.015130730000000092
3,0.0,-0.02102375099999998
4,-2.366000000000004e-07,-0.003026146000000285
5,-9.463999999999983e-07,-0.001114896000000254
6,-1.419599999999999e-06,-0.007007917000000141
7,-1.7745000000000014e-06,0.003822499999999618
8,-1.419599999999999e-06,-0.004459583000000045
9,-7.098000000000012e-07,-0.02612041800000009
10,-1.1829999999999851e-07,-0.021979375999999995
11,0.0,-0.01751979200000031
12,0.0,-0.03201343900000042
13,0.0,-0.031376355999999994
14,0.0,-0.028828022000000342
15,0.0,-0.021979375999999995
16,0.0,-0.014971459000000298
17,0.0,-0.02500552200000028
18,0.0,-0.02373135500000023
19,-2.366000000000004e-07,-0.00939697900000036
20,-5.914999999999993e-07,-0.007804271000000362
21,-9.463999999999983e-07,-0.01720125100000036
22,-7.098000000000012e-07,-0.01688270900000033
23,-4.732000000000008e-07,-0.0022297920000000637
24,-9.463999999999983e-07,0.006052291999999682
25,-1.1829999999999987e-06,-0.002707604000000252
26,-1.6561999999999995e-06,-0.010352605000000015
27,-1.8928e-06,0.005893020999999887
28,-1.8928e-06,0.03026145999999974
29,-1.8928e-06,0.03026145999999974
30,-1.8928e-06,0.030898542999999723
31,-1.8928e-06,0.031217084999999756
32,-1.8928e-06,0.021342293000000012
33,-1.8928e-06,0.029942917999999707
34,-1.8928e-06,0.04778125299999969
35,-1.8928e-06,0.04268458599999958
36,-1.8928e-06,0.03312833499999979
37,-1.8928e-06,0.024846250999999597
38,-1.8928e-06,0.024527709999999647
39,-1.8928e-06,0.03695083499999985
40,-1.537900000000001e-06,0.035517397999999645
41,-9.463999999999983e-07,0.023094271999999805
42,-4.732000000000008e-07,0.025483334999999663
43,-9.463999999999983e-07,-0.19510678099999978
44,-1.537900000000001e-06,-1.2405605849999999
45,-1.8928e-06,-2.873723796
46,-1.8928e-06,-4.664883681000001
47,-1.8928e-06,-6.400617315
48,-1.8928e-06,-8.085384275000001
49,-2.4842999999999992e-06,-9.769514155
50,-6.1516000000000005e-06,-11.440743095
51,-1.4077800000000003e-05,-13.081073495000002
52,-2.73276e-05,-14.709458575
