data_ind,gamma_t,V
0,0.0,0.0
1,-0.0001,0.666993
2,0.0005,12.505421453
3,0.0009,18.244980913
4,0.001,21.514707313
5,0.0016,36.548027133
6,0.0022,50.866556873
7,0.0024,57.655495373
8,0.0019,40.487425003
9,0.0012,24.645603302999998
10,0.0009,14.757163783
11,-0.0004,-4.295352298
12,-0.0008,-14.398025137
13,-0.0014,-31.564650337000003
14,-0.0024,-56.555627007
15,-0.0027,-63.132474577
16,-0.0019,-41.059242597
17,-0.0013,-22.675696187000003
18,-0.0008,-10.797686427
19,0.0,3.120661272
20,0.0006,13.496842593
21,0.0012,25.571980943
22,0.002,45.243811303
23,0.0025,58.682057152999995
24,0.0018,39.134687693
25,0.0012,22.426827083
26,0.0007,12.505170563
27,0.0,0.771604157
28,-0.0007,-11.249035817
29,-0.0014,-32.043898786999996
30,-0.0023,-54.807433487000004
31,-0.0029,-71.63007862699999
32,-0.0024,-55.612829337
33,-0.0017,-35.140293927
34,-0.001,-16.635853647
35,-0.0002,1.660976846
36,0.0006,13.106576033
37,0.0012,24.088809573
38,0.002,45.997728173
39,0.0026,62.292206833
40,0.0021,45.139525573
41,0.0014,27.665718112999997
42,0.0008,13.363160563000001
43,0.0001,1.19663927
44,-0.0006,-10.703451466999999
45,-0.0014,-31.815304407000003
46,-0.0023,-55.309509837
47,-0.003,-74.23660195699999
48,-0.0023,-51.320198317
49,-0.0014,-27.296154387
50,-0.0002,1.33759455
51,0.0007,14.640900753
52,0.0013,26.231881032999997
53,0.0022,51.469560203
54,0.0031,73.744062983
55,0.0037,90.800693963
56,0.0044,107.82695704300001
57,0.0048,117.667420343
58,0.005,122.492161343
59,0.0044,102.261312743
60,0.0036,79.859353833
61,0.0025,53.363378733
62,0.0016,30.816950032999998
63,0.0011,17.246015962999998
64,0.0002,1.406456938
65,-0.0008,-16.682836417
66,-0.0014,-34.779658847
67,-0.0026,-65.67361451699999
68,-0.0036,-93.335388787
69,-0.0042,-108.874790357
70,-0.0047,-123.56155655699999
71,-0.005,-130.822077057
72,-0.0043,-105.239811757
73,-0.0035,-82.144896217
74,-0.0023,-50.738914207
75,-0.0012,-19.901788577
76,-0.0002,1.314957422
77,0.0009,18.308740803
78,0.0017,38.655355263
79,0.003,69.687151403
80,0.0039,94.613249353
81,0.0051,128.743966743
82,0.0039,90.846752573
83,0.0027,59.246882573
84,0.0015,27.966641263
85,0.0007,11.271107413
86,-0.0002,-3.443162711
87,-0.0008,-16.842965277
88,-0.002,-47.861134597
89,-0.0033,-81.360238087
90,-0.0042,-106.45419965699999
91,-0.0051,-134.289441157
92,-0.004,-96.67493325699999
93,-0.0028,-65.524680787
94,-0.0015,-28.022845777
95,0.0002,5.8184598
96,0.001,18.567633342999997
97,0.0017,37.954711563
98,0.0028,65.567626383
99,0.0042,103.04747354300001
100,0.0051,128.993541143
101,0.004,93.60201631300001
102,0.003,66.036066833
103,0.0016,32.695420393
104,0.0001,1.09852134
105,-0.0014,-31.699059237
106,-0.0026,-63.339858947
107,-0.0038,-95.138855877
108,-0.0052,-136.708297957
109,-0.004,-98.14079799699999
110,-0.0028,-65.17176353699999
111,-0.0013,-22.724798127000003
112,-0.0001,2.855249857
113,0.0014,29.260208282999997
114,0.0025,58.632853802999996
115,0.0037,90.73014798300001
116,0.0049,121.434280943
117,0.0059,150.54614044299998
