data_ind,gamma_t,V
0,0.0,0.0
1,0.0006,35.77649239
2,0.0007,28.78968039
3,0.00019999999999999998,4.378690626
4,0.00019999999999999998,3.5571944720000004
5,0.0001,3.948846328
6,0.0001,4.070174997
7,0.0001,4.066129682
8,0.0007,29.23863094
9,0.0007,29.277847440000002
10,0.0015,74.37400923999999
11,0.003,142.98559119
12,0.0033,157.22179689
13,0.0038,177.05674209
14,0.0019,62.98911701
15,0.0007999999999999999,6.760684803999999
16,0.0004,-2.855886847
17,0.0001,-5.230214274000001
18,0.0001,-4.076482167
19,-0.00039999999999999996,-13.89968502
20,-0.0001,-3.119716301
21,-0.00030000000000000003,-16.726622029999998
22,-0.0007,-33.06860454
23,-0.0019,-93.75142966
24,0.0023,100.44866789
25,0.00030000000000000003,3.3358811000000004
26,0.0001,-3.2692926669999998
27,-0.0007,-32.55802647
28,-0.0015,-76.50635184000001
29,-0.002,-94.03704638
30,-0.0033,-157.20130641
31,-0.0023,-98.39090331
32,-0.0014,-48.02687374
33,-0.00039999999999999996,-7.550399918
34,0.0006,16.709630200000003
35,0.0015,65.33227138
36,0.0024000000000000002,108.85465979
37,0.0034000000000000002,162.49452049
38,0.0038,179.78866479
39,0.0031000000000000003,132.56892609000002
40,0.0018,71.36234118
41,0.00030000000000000003,3.110622031
42,-0.0007,-32.02921266
43,-0.0018,-84.89864659
44,-0.0026999999999999997,-126.79432361
45,-0.0034,-161.74842120999998
46,-0.0017000000000000001,-66.05361785000001
47,-0.0002,-3.172188011
48,0.0009,34.084184279999995
49,0.0026000000000000003,115.51286399
50,0.0038,180.60447819
51,0.0023,90.9781241
52,0.0012,41.34313425
53,0.0009,27.802995940000002
54,0.0,-3.2609510669999997
55,-0.0018,-84.46019209
56,-0.0034999999999999996,-165.57190881
57,-0.0018,-72.2697046
58,-0.0006000000000000001,-12.19007349
59,-0.0002,-3.1796313319999996
60,-0.0002,-3.126418083
61,-0.0002,-3.141960389
62,-0.0002,-3.148958097
63,-0.0002,-3.127878816
64,0.0015999999999999999,69.16382657
65,0.0032,150.70271259
66,0.0040999999999999995,198.89128219
67,0.0046,218.92252789000003
68,0.0050999999999999995,235.24788419
69,0.0056,249.11656309
70,0.0059,256.08354779
71,0.006,261.37758369
72,0.0056,223.42302479
73,0.0034000000000000002,112.28068609
74,0.0018,34.14328793
75,0.0009,3.1721026610000003
76,-0.0002,-40.24265072
77,-0.0014,-104.56475321
78,-0.0026,-155.61483780999998
79,-0.0031999999999999997,-182.96790650999998
80,-0.0039,-215.99711360999999
81,-0.0044,-231.63046180999999
82,-0.0048000000000000004,-244.61787450999998
83,-0.0049,-248.64979940999999
84,-0.005200000000000001,-257.88355280999997
85,-0.004200000000000001,-184.72782310999997
86,-0.0029,-117.08420201
87,-0.0006000000000000001,-5.6251403060000005
88,0.0006,27.513492680000002
89,0.002,90.38521312
90,0.0035,163.26756909000002
91,0.0045,209.99169469
92,0.005,234.68024239000002
93,0.0055,256.31092509
94,0.0056,262.93874589
95,0.005699999999999999,270.27407249000004
96,0.0058,273.58571749000004
97,0.0059,276.34476599
98,0.006,279.73913829
99,0.0062,283.11209819000004
100,0.0043,179.29724339
101,0.0027,95.35379433
102,0.0015,33.98745513
103,0.00030000000000000003,-3.1379427
104,-0.0011,-67.47558916
105,-0.0031,-160.95107961
106,-0.004200000000000001,-216.21040911
107,-0.005,-252.79560121
108,-0.0053,-264.14023301
109,-0.0039,-177.91867311
110,-0.0017000000000000001,-59.48071989
111,-0.00039999999999999996,-2.941076843
112,0.0017,73.53566838
113,0.0032,144.47263599000001
114,0.004399999999999999,201.61828989
115,0.0050999999999999995,238.77390909000002
116,0.0058,268.21595849
117,0.006,277.92438019
118,0.0060999999999999995,281.67273269000003
119,0.0062,284.44834079000003
120,0.0045,192.63412879
121,0.0025,88.21202179
122,0.0013,33.86849288
123,0.00030000000000000003,-3.053583872
124,-0.0009000000000000001,-51.88310647
125,-0.0021999999999999997,-119.40469901
126,-0.0034999999999999996,-178.24224540999998
127,-0.0045000000000000005,-226.18564561
128,-0.005,-252.86315710999997
129,-0.005200000000000001,-260.23079131
130,-0.0036999999999999997,-168.76907340999998
131,-0.002,-74.29256002
132,-0.00039999999999999996,-2.9645316069999996
133,0.0007999999999999999,29.694740250000002
134,0.0039000000000000003,169.53062589
135,0.0046,212.08410169
136,0.0052,237.30267459
137,0.0059,263.89386419
138,0.0058,269.38924349
139,0.006699999999999999,297.97794979
140,0.0079,310.06485539
141,0.0091,320.86656279
142,0.0123,331.66403529
143,0.0123,321.52635079000004
144,0.0123,309.57309709000003
