data_ind,gamma_t,V
0,0.0,0.0
1,0.0001399513114561,49.93576
2,0.000279902678146,99.87151
3,0.0004198539896022,149.8073
4,0.0005598055772271,199.743
5,0.0006997568334495,249.6788
6,0.0008397080896719,299.6145
7,0.0009796593458944,349.5503
8,0.0011196106021168,399.4861
9,0.0009781221908463,349.5517
10,0.0008366332272385,299.6174
11,0.000695144815968,249.683
12,0.0005536558523602,199.7487
13,0.000412167164921,149.8144
14,0.0002706784774818,99.88004
15,0.0001291897900427,49.9457
16,0.0001150408936819,44.95226
17,-2.6447799280580502e-05,-4.982073
18,-0.0001679364811963,-54.91641
19,-0.0003094252238692,-104.8507
20,-0.0004509139113084,-154.7851
21,-0.0005924028749162,-204.7194
22,-0.0007338912861867,-254.6538
23,-0.0008753802497945,-304.5881
24,-0.001016868661065,-354.5224
25,-0.0011442083969096,-399.4633
26,-0.0010028939719274,-349.5288
27,-0.0008615800992826,-299.5943
28,-0.0007202656743004,-249.6598
29,-0.0005789512493182,-199.7253
30,-0.0004376368243359,-149.7908
31,-0.0002963224545875,-99.85634
32,-0.000155008084839,-49.92184
33,-1.369375927754265e-05,0.01265549
34,0.0001276205994241,49.94715
35,0.0002689349139389,99.88165
36,0.0004102492836874,149.8162
37,0.0005515636534358,199.7507
38,0.0006928780231843,249.6852
39,0.0008341924481665,299.6196
40,0.0009755068731488,349.5541
41,0.0011168207457936,399.4886
42,0.0009723187815436,349.5571
43,0.0008278162649562,299.6256
44,0.0006833137483688,249.6941
45,0.0005388110108465,199.7626
46,0.0003943084942591,149.8311
47,0.0002498059776717,99.8996
48,0.0001053034610843,49.96809
49,-3.919902236276141e-05,0.03658264
50,-0.0001837015168566,-49.89493
51,-0.000328204033444,-99.82643
52,-0.0004727065500314,-149.7579
53,-0.0006172089009175,-199.6894
54,-0.0006316591525763,-204.6826
55,-0.0007761616691636,-254.6141
56,-0.000920664185751,-304.5456
57,-0.0010651667023384,-354.4771
58,-0.0012096692189258,-404.4086
59,-0.0010651197536575,-354.4772
60,-0.0009205702883891,-304.5457
61,-0.0007760208231208,-254.6142
62,-0.0006314713578525,-204.6828
63,-0.0004869216164154,-154.7513
64,-0.0003423720406796,-104.8199
65,-0.0001978225201775,-54.88839
66,-5.32729886287533e-05,-4.956925
67,9.127657606031524e-05,44.97454
68,0.0002358260965623,94.906
69,0.0003803756170644,144.8375
70,0.0005249251928002,194.7689
71,0.0006694749342373,244.7004
72,0.0008140243995056,294.6319
73,0.0009585738647739,344.5633
74,0.0011031233300423,394.4948
75,0.0011184921188353,399.5003
76,0.0009762558426943,349.5667
77,0.0008340195665532,299.633
78,0.0006917832904121,249.6994
79,0.0005495472352059,199.7657
80,0.0004073110695323,149.8321
81,0.000265074848625,99.89847
82,0.0001228386829514,49.96482
83,-1.9397515862440364e-05,0.03118378
84,-0.0001616337036295,-49.90246
85,-0.0003038698693031,-99.8361
86,-0.0004461060902105,-149.7697
87,-0.0005883420901828,-199.7034
88,-0.0007305783663239,-249.637
89,-0.000872814642465,-299.5707
90,-0.0010150509186061,-349.5043
91,-0.0011572871947472,-399.4379
92,-0.0010150266157595,-349.5043
93,-0.0008727660367718,-299.5707
94,-0.0007305049054467,-249.6371
95,-0.000588244326459,-199.7035
96,-0.0004459838579388,-149.7699
97,-0.0003037232237173,-99.83624
98,-0.0001614625894959,-49.90262
99,-1.9201971844599863e-05,0.03100118
100,0.0001230586789469,49.96462
101,0.0002653193131684,99.89824
102,0.0004075799473898,149.8319
103,0.0005498405816113,199.7655
104,0.0006921014367677,249.6991
105,0.0008343620157554,299.6327
106,0.0009766225947431,349.5663
107,0.0011188831737308,399.4999
108,0.0009752599783207,349.5676
109,0.0008316373352481,299.6353
110,0.000688014139838,249.7029
111,0.0005443910548954,199.7706
112,0.0004007680804203,149.8382
113,0.0002571450507114,99.90591
114,0.0001135220762363,49.97357
115,-3.0100942425727877e-05,0.04122819
116,-0.0001737239279475,-49.89111
117,-0.0003173469576564,-99.82345
118,-0.0004609699321315,-149.7558
119,-0.0006045929618403,-199.6881
120,-0.0007482161572504,-249.6205
121,-0.0008918388003231,-299.5528
122,-0.0010354619957331,-349.4852
123,-0.0011790851911432,-399.4175
124,-0.0010355293808987,-349.4851
125,-0.0008919735706543,-299.5527
126,-0.0007484177604098,-249.6203
127,-0.0006048619501653,-199.6879
128,-0.0004613062503883,-149.7555
129,-0.0003177505506113,-99.82307
130,-0.0001741947956006,-49.89067
131,-3.06390461132706e-05,0.0417354
132,0.0001129167144208,49.97414
133,0.0002564724141978,99.90654
134,0.0004000281692085,149.8389
135,0.0005435839242193,199.7713
136,0.0006871397896975,249.7038
137,0.000830695599942,299.6362
138,0.0009742514101864,349.5686
139,0.0011178066680935,399.501
140,0.0009748313644805,349.568
141,0.0008318560608675,299.6351
142,0.0006888807572546,249.7021
143,0.0005459053984078,199.7692
144,0.0004029299843274,149.8362
145,0.0002599546254807,99.90327
146,0.0001169792114002,49.97032
147,-2.599614744647505e-05,0.03736887
148,-0.0001689715062931,-49.89558
149,-0.0003119469203736,-99.82853
150,-0.0004549222792203,-149.7615
151,-0.0005978975275996,-199.6944
152,-0.0007408728312125,-249.6274
153,-0.0008838486871629,-299.5603
154,-0.0010268239907759,-349.4933
155,-0.0011697992943889,-399.4262
156,-0.0010267969262422,-349.4933
157,-0.0008837945580955,-299.5604
158,-0.0007407921899488,-249.6275
159,-0.0005977898218021,-199.6945
160,-0.0005834898059224,-194.7012
161,-0.0004404873273082,-144.7683
162,-0.0002974850143952,-94.83539
163,-0.0001544827014823,-44.90246
164,-1.1480388569377033e-05,5.030459
165,0.0001315219243435,54.96338
166,0.0002745242372565,104.8963
167,0.0004175265501694,154.8292
168,0.0005605291392511,204.7622
169,0.0007035309550604,254.6951
170,0.0008465333232071,304.628
171,0.0009895356913538,354.5609
172,0.0011158447655672,399.5302
173,0.0009734952602544,349.5967
174,0.0008311457549416,299.6631
175,0.0006887962496288,249.7296
176,0.0005464464129136,199.7961
177,0.0004040968523671,149.8625
178,0.0002617472365868,99.92899
179,0.0001193976208065,49.99545
180,-2.295200049710368e-05,0.06191656
181,-0.000165301610754,-49.87162
182,-0.0003076512265342,-99.80515
183,-0.0004500008423145,-149.7387
184,-0.0005923504028611,-199.6722
185,-0.0007346999081739,-249.6058
186,-0.0008770494134866,-299.5393
187,-0.0010193994711369,-349.4728
188,-0.0011617489764497,-399.4064
189,-0.0008759231974813,-299.5403
190,-0.0005900974185129,-199.6743
191,-0.0003042715290771,-99.80832
192,-1.84457445853672e-05,0.05769735
193,0.0002673800288596,99.92371
194,0.0005532056973605,199.7897
195,0.0008390314763288,299.6557
196,0.0011248572552972,399.5218
197,0.0014106830342656,499.3878
198,0.001696508813234,599.2538
199,0.0017736819503034,626.2176
200,0.001481761127873,526.3574
201,0.0011898397531051,426.4971
202,0.0008979189306747,326.6369
203,0.0006059981082443,226.7767
204,0.0003140771753464,126.9164
205,2.2156259018634485e-05,27.0562
206,-0.0002697646904493,-72.80404
207,-0.0005616857338147,-172.6643
208,-0.0008536065562452,-272.5245
209,-0.0011455273786756,-372.3847
210,-0.001437448201106,-472.245
211,-0.0017293695758739,-572.1052
212,-0.0018753297109204,-622.0353
213,-0.0015850449119367,-522.1735
214,-0.001294760112953,-422.3117
215,-0.0010044753139693,-322.4499
216,-0.0007141899626481,-222.5881
217,-0.0004239052741319,-122.7263
218,-0.0001336203646807,-22.86454
219,0.0001566645447704,76.99726
220,0.0004469495094553,176.8591
221,0.0007372345846077,276.7209
222,0.0010275193835914,376.5827
223,0.0013178041825751,476.4445
224,0.0016080889815588,576.3063
225,0.0017532316572193,626.2372
226,0.0014640819116398,526.3743
227,0.0011749321660602,426.5114
228,0.0008857818681432,326.6485
229,0.0005966321225636,226.7856
230,0.0003074824322178,126.9228
231,1.833257617078273e-05,27.05988
232,-0.0002708172798762,-72.803
233,-0.0005599668597546,-172.6659
234,-0.0008491171576716,-272.5288
235,-0.0011382669032511,-372.3916
236,-0.0014274166488307,-472.2545
237,-0.0017165663944103,-572.1174
238,-0.0018611412672001,-622.0488
239,-0.0015712767969952,-522.1866
240,-0.0012814123267904,-422.3244
241,-0.0009915478565855,-322.4622
242,-0.0007016833863807,-222.6
243,-0.0004118188609421,-122.7378
244,-0.0001219543907373,-22.87563
245,0.0001679101347012,76.98657
246,0.0004577746601398,176.8488
247,0.0007476389646435,276.711
248,0.0010375034348483,376.5732
249,0.0013273679050531,476.4354
250,0.001617232375258,576.2976
251,0.0017621651626978,626.2287
252,0.0014719262077202,526.3668
253,0.0011816878050801,426.505
254,0.0008914494024399,326.6431
255,0.0006012109997997,226.7813
256,0.0003109725419258,126.9194
257,2.0734061958450416e-05,27.0576
258,-0.0002695044290557,-72.80424
259,-0.0005597426107609,-172.6661
260,-0.0008499815657385,-272.5279
261,-0.0011402199683786,-372.3898
262,-0.0014304583710188,-472.2516
263,-0.001720696773659,-572.1135
264,-0.0018658162511478,-622.0444
265,-0.0015737236517788,-522.1843
266,-0.0012816310524099,-422.3242
267,-0.0009895390053783,-322.4642
268,-0.0006974464060094,-222.6041
269,-0.0004053539723417,-122.744
270,-0.0001132615939077,-22.88395
271,0.00017883083976,76.97612
272,0.0004709232181939,176.8362
273,0.0007630154861604,276.6963
274,0.0010551080855294,376.5563
275,0.0013472006848984,476.4164
276,0.0016392927319299,576.2765
277,0.0017853390316144,626.2065
278,0.001492927181215,526.3468
279,0.001200515883153,426.487
280,0.0009081040327536,326.6272
281,0.0006156927346916,226.7675
282,0.0003232810499934,126.9077
283,3.0869475762743463e-05,27.04792
284,-0.0002615420984679,-72.81184
285,-0.0005539535622311,-172.6716
286,-0.0008463654126305,-272.5314
287,-0.0011387767106925,-372.3911
288,-0.0014311885610919,-472.2509
289,-0.0017235998591539,-572.1107
290,-0.0018698057843536,-622.0406
291,-0.0015774939070278,-522.1807
292,-0.0012851820297019,-422.3208
293,-0.000992870152376,-322.461
294,-0.0007005582750502,-222.6011
295,-0.0004082460663219,-122.7412
296,-0.0001159340785285,-22.88138
297,0.000176377854031,76.97848
298,0.0004686898418243,176.8383
299,0.0007610016639164,276.6982
300,0.0010533135412423,376.5581
301,0.0013456259709056,476.4179
302,0.0016379378482314,576.2778
303,0.0017840935107257,626.2077
304,0.001491647415406,526.348
305,0.0011992013200864,426.4882
306,0.0009067552247668,326.6285
307,0.0006143091294471,226.7688
308,0.0003218633102962,126.9091
309,2.9417231546751912e-05,27.04932
310,-0.0002630288251092,-72.81041
311,-0.0005554746994939,-172.6701
312,-0.0008479207948135,-272.5299
313,-0.0011403668901331,-372.3896
314,-0.0014328129854528,-472.2493
315,-0.0017252590807724,-572.1091
316,-0.0018714821284322,-622.0389
317,-0.0015803588812405,-522.1779
318,-0.0012892350817114,-422.3169
319,-0.0009981118345197,-322.4559
320,-0.0007069880349905,-222.5949
321,-0.0004158645668638,-122.7339
322,-0.0001247410435034,-22.87295
323,0.0001663825350906,76.98805
324,0.0004575060584511,176.8491
325,0.0007486298579802,276.71
326,0.0010397531051719,376.571
327,0.001330876904701,476.432
328,0.0016220001518927,576.293
329,0.0017675620516573,626.2235
330,0.001476737066674,526.3623
331,0.0011859126340281,426.501
332,0.0008950882013822,326.6397
333,0.0006042632163988,226.7784
334,0.0003134387285192,126.9171
335,2.261409150850254e-05,27.05584
336,-0.0002682105786424,-72.80545
337,-0.0005590350665221,-172.6667
338,-0.0008498600515054,-272.528
339,-0.0011406844841513,-372.3893
340,-0.0014315089167972,-472.2506
341,-0.0017223339017805,-572.1119
342,-0.0018677461181035,-622.0425
343,-0.0015750812971644,-522.183
344,-0.0012824164762253,-422.3235
345,-0.0009897516552862,-322.4639
346,-0.0006970868343471,-222.6044
