data_ind,gamma_t,V
0,0.0,0.0
1,2.32717e-06,-0.46289618600000004
2,2.84017e-06,-0.741742644
3,1.2771699999999998e-06,-0.722364658
4,1.5716999999999997e-07,-0.27144908
5,3.19117e-06,0.26685569200000003
6,5.61561e-06,0.714967492
7,5.36089e-06,0.916646685
8,5.71143e-06,0.909249383
9,6.98816e-06,1.6098821730000001
10,7.626139999999999e-06,2.377929456
11,6.95545e-06,2.211009069
12,7.72196e-06,2.3099179480000003
13,1.266765e-05,2.564814236
14,1.151867e-05,1.221777813
15,8.96597e-06,0.778249028
16,9.38117e-06,0.271428605
17,7.5934299999999996e-06,0.5600370650000001
18,4.116093e-06,-0.029129663999999972
19,6.3494099999999996e-06,1.10071691
20,6.15778e-06,1.109832112
21,2.64851e-06,1.132034169
22,6.3813400000000005e-06,1.575563008
23,5.1373299999999995e-06,1.2024104230000001
24,5.7753e-06,1.444739817
25,7.05204e-06,1.393867844
26,7.69002e-06,1.2578451160000002
27,1.212548e-05,1.5051866660000002
28,1.167835e-05,0.9309918389999999
29,1.522037e-05,1.52752572
30,1.330563e-05,2.084748407
31,1.636937e-05,3.345428596
32,1.930447e-05,3.868761579
33,2.5526169999999998e-05,3.699036354
34,3.471647e-05,4.486598103
35,3.213187e-05,2.862537905
36,3.465257e-05,2.869935193
37,3.289757e-05,3.1487614390000003
38,3.4302069999999996e-05,3.483209217
39,2.709027e-05,3.98480999
40,2.8845369999999998e-05,4.1569003659999995
41,3.969407e-05,5.187240996
42,3.375907e-05,2.566991933
43,3.315307e-05,3.053808028
44,3.060037e-05,3.1533240250000003
45,3.691857e-05,4.52029013
46,2.798377e-05,4.428329382
47,3.471647e-05,4.963809607
48,3.947057e-05,5.7661756010000005
49,4.633097e-05,5.58208676
50,3.758857e-05,5.070545534
51,4.4225369999999996e-05,5.712920077
52,6.270027e-05,6.774764997
53,7.444247000000001e-05,6.132380814
54,6.726267e-05,5.63295788
55,6.796537e-05,5.618613573
56,8.988637000000001e-05,7.320449145
57,8.088847000000001e-05,7.385663944
58,8.781277e-05,8.398816125
59,9.626847e-05,9.499543797
60,0.00010328777,8.745655248
61,0.00010548917,8.931930714
62,0.00011030817,8.115408323999999
63,0.00010947917000000001,7.914188023
64,0.00010587317,7.586696904
65,0.00010376717000000001,7.62777672
66,0.00010606417,9.298314282
67,0.00010316007,8.912573524
68,0.00010855317,8.953644041
69,0.00010501117,7.821618274
70,0.00010702117,7.014680624
71,0.00010625617,7.477586242
72,0.00010044847,7.487358436
73,0.00010213887000000001,8.699365653000001
74,0.00010367117,8.881060221
75,0.00010874417,8.253188118
76,0.00010864917000000001,7.906790678
77,0.00010188407000000001,6.675239244
78,0.00010708417,7.71769868
79,0.00010086287,8.306865816
80,0.00010762817,8.62915654
81,0.00010408617,9.14053929
82,0.00010510717000000001,7.3952394980000005
83,0.00011132917,7.473033212
84,0.00010175717000000001,6.855187445
85,0.00010003327,6.988395583
86,0.00010032067000000001,8.452484524
87,9.294927e-05,7.562767916
