id,investigator,year,spec_id,profile,region,sec_type,sg_flg_link,sg_web_link,f_y_n_flg,f_y_n_web,f_u_n_flg,f_u_n_web,e_n_flg,e_n_web,f_y_m_flg,f_y_m_web,f_y_exp_flg,f_y_exp_web,f_u_m_flg,f_u_m_web,f_u_exp_flg,f_u_exp_web,e_m_flg,e_m_web,r_y_flg,r_y_web,r_t_flg,r_t_web,f_u_f_y_n_flg,f_u_f_y_n_web,f_u_f_y_m_flg,f_u_f_y_m_web,h_n,tw_n,bf_n,tf_n,tf_add_n,r_n,h_m,tw_m,bf_m,tf_m,tf_add_m,hw_n,hw_m,a_fil_n,af_n,aw_n,a_n,af_m,aw_m,a_m,zp_fil_n,zp_n,zp_no_fil_n,zp_fil_m,zp_m,zp_no_fil_m,link_loc,l_confi,l_con_typ,l_st,h_st,e,l_con_confi,l_con_wld,l_endp_wld,l_bu_wld,l_s_side,l_s_reg,l_s_d_pnl_1_f,l_s_d_pnl_2_f,l_s_d_pnl_1_b,l_s_d_pnl_2_b,t_s,l_s_weld,l_s_no_f,l_s_no_b,a_b_b,t_e_s,t_b_s,d_b_s,d_b_pnl_1,d_b_pnl_2,b_s_no,l_p_typ,n_d_n_pl_ten,n_d_n_pl_comp,fail_mode,ov_aisc,ov_ec8,class_aisc,class_ec8,reference,url,latitude,longitude,,,,,
14,Engelhardt & Popov,1989,12,W12x22,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,297,324,375,375.00,455.10,455.10,480.0,480.0,NR,NR,1.5,1.5,1.2,1.2,1.6,1.6,1.534907251,1.404196236,312.7,6.6,102.4,10.8,NA,8,311.9,7.2,104.4,9.7,NA,275.1,276.5064,13.73451754,1105.92,1921.26,4188.03807,1012.914103,2110.024167,4190.790444,7898.064885,481595.0094,466011.9045,7936.697336,468347.5514,460410.8541,edge,TF4,continuous-welded,NA,NA,1524,LC15,fillet,NA,NA,single,non-regular,152.4,1219.2,NA,NA,6.35,fillet,2,NA,39.3,6.35,NA,NA,330.2,NA,NA,Symmetric-cyclic,NA,NA,FM9,1.42,2.24,long,long,"Engelhardt, M. and Popov, E. P. (1989). “Behavior of long links in eccentrically braced frames.” Report No. UCB/EERC- 89/01, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
15,Hjelmstad & Popov,1983,1,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,"FM1,FM10",1.07,1.41,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
16,Hjelmstad & Popov,1983,2,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove,NA,double,regular,355.6,NA,355.6,NA,9.5,fillet,1,1,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,"FM1,FM11",1.25,1.64,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
17,Hjelmstad & Popov,1983,3,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove,NA,double,regular,237,NA,237,NA,9.5,fillet,2,2,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM2,1.50,1.97,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
18,Hjelmstad & Popov,1983,4,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove,NA,double,regular,177.8,NA,177.8,NA,9.5,fillet,3,3,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM11,1.65,2.14,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
19,Hjelmstad & Popov,1983,5,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove,NA,double,non-regular,215.9,279.4,215.9,279.4,9.5,fillet,2,2,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM11,1.37,1.80,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
20,Hjelmstad & Popov,1983,6,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,711,LC2,NA,CJP single bevel groove and fillet,NA,double,non-regular,284.5,213.4,284.5,213.4,9.5,fillet,2,2,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM10,1.49,1.96,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
21,Hjelmstad & Popov,1983,7,W18x35,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,286,322,375,375.00,440.00,475.00,480.0,480.0,197340,197685,1.5,1.5,1.2,1.2,1.6,1.6,1.538461538,1.47515528,450,7.6,152,10.8,NA,10,449.3,8.2,150,9.6,NA,408.4,410.1,21.46018366,1641.6,3255.84,6624.880735,1440,3526.82,6492.660735,18195.34468,1087886.529,1053411.984,18268.3093,1030657.63,1012389.321,middle,TF1,bolted,NA,NA,711,LC2,NA,fillet,NA,double,regular,237,NA,237,NA,9.5,fillet,2,2,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM10,1.32,1.97,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
22,Hjelmstad & Popov,1983,8,W18x60,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,268,306,375,375.00,460.00,472.00,480.0,480.0,201480,197340,1.5,1.5,1.2,1.2,1.6,1.6,1.71641791,1.54248366,463,10.5,192,17.7,NA,10,464.3,10.7,192.1,17.3,NA,407.6,409.7,21.46018366,3398.4,4489.8,11372.44073,3323.33,4597.79,11330.29073,18161.00839,2011428.148,1970818.14,18251.14116,1997697.242,1979446.101,middle,TF1,bolted,NA,NA,914,LC2,NA,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,"FM1,FM10",1.37,1.81,short,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
23,Hjelmstad & Popov,1983,9,W18x40,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,242,273,375,375.00,404.00,415.00,480.0,480.0,193200.0,195270.0,1.5,1.5,1.2,1.2,1.6,1.6,1.669421488,1.52014652,455,8,153,13.3,NA,10,454.2,8,152,13.2,NA,408.4,407.8,21.46018366,2034.9,3427.2,7582.840735,2006.4,3422.4,7521.040735,18195.34468,1284063.795,1248732.45,18169.59246,1269017.672,1250848.08,middle,TF1,bolted,NA,NA,914,LC2,NA,fillet,NA,double,regular,304.8,NA,304.8,NA,9.5,fillet,2,2,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,FM11,1.35,1.94,intermediate,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
24,Hjelmstad & Popov,1983,10,W16x26,USA,hot-rolled,A36,A36,250,250,400,400,205000,205000,343,333,375,375.00,475.00,464.00,480.0,480.0,207690,208035,1.5,1.5,1.2,1.2,1.6,1.6,1.38483965,1.393393393,399,6.4,140,8.8,NA,10,398.8,6.7,139.3,9,NA,361.4,360.8,21.46018366,1232,2440.96,4990.800735,1253.7,2551.36,5144.600735,16178.08742,729650.0234,701267.136,16152.3352,747734.0672,731581.732,middle,TF1,bolted,NA,NA,914,LC2,NA,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symmetric-cyclic,NA,NA,"FM4,FM10",1.08,1.67,intermediate,intermediate,"Hjelmstad, K. D. and Popov, E. P. (1983). “Seismic behavior of active beam links in eccentrically braced frames.” Report No. UCB/EERC-83/15, Earthquake Engineering Research Center, Berkeley, California",https://nehrpsearch.nist.gov/static/files/NSF/PB84119676.pdf,37.8742565,-122.2387092,,,,,
