Elongation [mm],Lode angle
0.0,1.0
0.0006,1.0
0.0012,1.0
0.0018,1.0
0.0024,1.0
0.003,1.0
0.0036,1.0
0.0042,1.0
0.0048,0.9999994781733621
0.0054,1.0
0.006,0.9999995825688924
0.0066,1.0
0.0072,1.0
0.0078,1.0
0.0084,0.9999999999999999
0.009,1.0
0.0096,0.9999997391620358
0.0102,1.0000000000000002
0.0108,1.0
0.0114,0.9999997782365515
0.012,0.9999999999999998
0.0126,1.0000003965976203
0.0132,0.9999998080875618
0.0138,1.0000001836873817
0.0144,1.0
0.015,0.9999999999999998
0.0156,1.0000000000000002
0.0162,1.000000620252874
0.0168,0.9999997020722654
0.0174,1.0
0.018,1.0000000000000002
0.0186,0.9999994601294788
0.0192,1.0
0.0198,1.0
0.0204,0.9999997572372019
0.021,1.000000236536246
0.0216,0.9999997710870576
0.0222,1.0000002210549916
0.0228,0.9999997876005896
0.0234,0.999999794780647
0.024,1.0
0.0246,1.0000001911622405
0.0252,0.9999994414836468
0.0258,0.9999996390495174
0.0264,1.0
0.027,1.0000003406752147
0.0276,1.0
0.0282,1.000000322342571
0.0288,1.0000000000000002
0.0294,1.0
0.03,1.0000002978693343
0.0306,0.9999997093997645
0.0312,1.0
0.0318,1.0
0.0324,1.0
0.033,1.0
0.0336,0.9999997200083856
0.0342,0.9999997203918582
0.0348,0.9999997225916145
0.0354,1.0000002770412888
0.036,1.0
0.0366,1.0
0.0372,1.0000005447890243
0.0378,1.0000000000000002
0.0384,1.0000000000000002
0.039,1.0000002687840646
0.0396,1.0000000000000002
0.0402,1.0
0.0408,0.9999997346853069
0.0414,0.9999997358088796
0.042,1.0
0.0426,1.0
0.0432,1.0000002609153993
0.0438,1.0000000000000002
0.0444,0.9999997411864188
0.045,1.0000002577872764
0.0456,1.0
0.0462,1.0000002566222934
0.0468,1.0
0.0474,1.0
0.048,1.0
0.0486,1.0000000000000002
0.0492,1.0
0.0498,0.9999997489841925
0.0504,1.0000004986542712
0.051,1.0000002492885534
0.0516,1.0000002476349004
0.0522,1.0
0.0528,1.0
0.0534,1.0
0.054,0.9999997547832233
0.0546,0.9999995119158412
0.0552,1.0000000000000002
0.0558,1.0
0.0564,1.0
0.057,1.0000000000000002
0.0576,1.0
0.0582,1.0000000000000002
0.0588,0.9999999999999999
0.0594,1.000000475806
0.06,0.9999999999999999
0.0591,0.9999995142756217
0.0582,1.0000000000000002
0.0573,1.0
0.0564,1.0000002595960662
0.0555,0.9999997341419368
0.0546,0.9999997266777759
0.0537,1.0
0.0528,0.9999999999999999
0.0519,1.000000294241554
0.051,0.999999696700857
0.0501,1.0
0.0492,1.0
0.0483,1.000000329392445
0.0474,0.9999996604701871
0.0465,1.0000003514585034
0.0456,0.9999998196952937
0.0447,1.0000003740587002
0.0438,1.0000003871807535
0.0429,0.9999997987146547
0.042,0.9999997924877355
0.0411,1.0000002156450918
0.0402,0.9999999999999999
0.0393,0.9999997644780839
0.0384,1.0
0.0375,1.0000002557232162
0.0366,1.0
0.0357,0.9999997163567034
0.0348,0.9999997012062297
0.0339,1.0
0.033,1.0
0.0321,1.0
0.0312,1.0000000000000002
0.0303,1.0
0.0294,1.0000002182191308
0.0285,0.9999999999999999
0.0276,0.9999999999999998
0.0267,0.9999994251082667
0.0258,1.0000003212080577
0.0249,1.0000001823796207
0.024,1.0
0.0231,1.000000250242481
0.0222,1.0
0.0213,1.0
0.0204,1.0
0.0195,1.0
0.0186,1.0
0.0177,1.0
0.0168,1.0
0.0159,1.0
0.015,1.0
0.0141,-0.9999999999999999
0.0132,-0.9999998175527814
0.0123,-1.0000000000000002
0.0114,-1.0000002668275048
0.0105,-1.0000002359008033
0.0096,-0.9999997893298358
0.0087,-1.0
0.0078,-0.9999996502410845
0.0069,-1.0000003247135751
0.006,-1.0
0.0051,-1.0
0.0042,-0.9999997381785223
0.0033,-0.9999995037068277
0.0024,-1.0000002342856316
0.0015,-1.0
0.0006,-1.0
-0.0003,-1.0000000000000002
-0.0012,-0.9999999999999999
-0.0021,-1.0000001831925578
-0.003,-1.0
-0.0039,-0.999999655069057
-0.0048,-0.9999996595284274
-0.0057,-1.0
-0.0066,-1.0
-0.0075,-0.9999996691445472
-0.0084,-1.0
-0.0093,-1.0000003247606326
-0.0102,-1.0000000000000002
-0.0111,-1.0
-0.012,-1.0
-0.0129,-1.0
-0.0138,-1.0
-0.0147,-1.0
-0.0156,-1.0
-0.0165,-1.0
-0.0174,-1.0000006008911542
-0.0183,-1.0000002980448623
-0.0192,-0.9999994076308489
-0.0201,-1.0
-0.021,-1.0
-0.0219,-0.9999997100662757
-0.0228,-1.0000002868557545
-0.0237,-1.0
-0.0246,-1.000000282741632
-0.0255,-1.0
-0.0264,-1.0
-0.0273,-1.0
-0.0282,-1.0
-0.0291,-1.0
-0.03,-1.0000002715510505
-0.0294,-1.0
-0.0288,-1.0
-0.0282,-0.999999713656738
-0.0276,-1.0000002903468246
-0.027,-0.999999704539587
-0.0264,-1.0000006015158505
-0.0258,-1.0
-0.0252,-0.9999996880550814
-0.0246,-0.9999996821428626
-0.024,-0.9999999999999999
-0.0234,-1.0000000000000002
-0.0228,-0.9999996618725622
-0.0222,-1.0
-0.0216,-1.0
-0.021,-1.0
-0.0204,-1.0000000000000002
-0.0198,-1.0000001879576133
-0.0192,-1.0000000000000002
-0.0186,-1.0000003922246616
-0.018,-1.000000201470902
-0.0174,-1.0000004128370386
-0.0168,-0.999999366536625
-0.0162,-1.0
-0.0156,-1.0
-0.015,-1.0
-0.0144,-1.0
-0.0138,-1.0000004826164386
-0.0132,-0.999999752346407
