Elongation [mm],Lode angle
0,1
0.006,0.999999779
0.012,1
0.018,1
0.024,1
0.03,0.999999653
0.036,1
0.042,1.000000322
0.048,1
0.054,1
0.06,1
0.066,1
0.072,0.999999718
0.078,1
0.084,1
0.09,1
0.096,1
0.102,1.000000259
0.108,1.000000255
0.114,1
0.12,1
0.126,1
0.132,1
0.138,0.999999759
0.144,1
0.15,1
0.156,1
0.162,0.999999537
0.168,1
0.174,1.000000228
0.18,0.999999774
0.186,1.000000223
0.192,1.000000222
0.198,1.00000044
0.204,0.999999782
0.21,1
0.216,1.000000215
0.222,0.999999787
0.228,0.999999787
0.234,1.000000421
0.24,1.000000418
0.246,0.999999792
0.252,0.999999587
0.258,0.999999795
0.264,1
0.27,0.999999594
0.276,1
0.282,1
0.288,1
0.294,1.000000198
0.3,1.000000394
0.306,1
0.312,1.00000039
0.318,0.999999613
0.324,0.999999615
0.33,1
0.336,1
0.342,1
0.348,1.000000189
0.354,1.000000376
0.36,0.999999626
0.366,1
0.372,1
0.378,1.000000554
0.384,1
0.39,1.000000183
0.396,0.999999636
0.402,0.999999638
0.408,1
0.414,1.00000018
0.42,0.999999821
0.426,0.999999644
0.432,1
0.438,0.999999647
0.444,1
0.45,1.00000035
0.456,1
0.462,1.000000348
0.468,1
0.474,1.000000345
0.48,0.999999656
0.486,1
0.492,1
0.498,1
0.504,1
0.51,1
0.516,1
0.522,1.000000667
0.528,0.999999668
0.534,0.999999669
0.54,1.00000033
0.546,1
0.552,1
0.558,1.000000326
0.564,1.000000324
0.57,1.000000324
0.576,0.999999678
0.582,1
0.588,0.99999968
0.594,0.999999682
0.6,1
0.594,1
0.588,1.000000198
0.582,1
0.576,0.999999739
0.57,1
0.564,1
0.558,1.000000258
0.552,1.000000505
0.546,1
0.54,-0.999999785
0.534,-1
0.528,-1
0.522,-1
0.516,-1
0.51,-1
0.504,-1.000000226
0.498,-1
0.492,-1
0.486,-1
0.48,-1.000000182
0.474,-0.999999649
0.468,-1.000000339
0.462,-0.999999672
0.456,-0.999999362
0.45,-1
0.444,-1
0.438,-1
0.432,-1
0.426,-1
0.42,-1
0.414,-1
0.408,-1.00000027
0.402,-0.999999735
0.396,-1
0.39,-0.999999743
0.384,-1
0.378,-0.999999749
0.372,-1
0.366,-1
0.36,-1
0.354,-1.00000024
0.348,-0.999999526
0.342,-1.000000704
0.336,-1
0.33,-1
0.324,-0.999999543
0.318,-0.999999547
0.312,-0.99999955
0.306,-1
0.3,-0.999999779
0.294,-1
0.288,-1
0.282,-1.000000217
0.276,-0.999999784
0.27,-1
0.264,-1.000000213
0.258,-1.000000424
0.252,-1
0.246,-0.99999979
0.24,-1.000000417
0.234,-0.999999584
0.228,-0.999999586
0.222,-0.999999589
0.216,-1.000000205
0.21,-1
0.204,-1.000000203
0.198,-1.000000405
0.192,-1
0.186,-0.9999998
0.18,-0.9999998
0.174,-0.9999998
0.168,-0.999999603
0.162,-1
0.156,-1.000000197
0.15,-1
0.144,-1
0.138,-0.999999415
0.132,-0.999999611
0.126,-1.000000194
0.12,-0.999999227
0.114,-0.999999615
0.108,-1.000000192
0.102,-0.999999616
0.096,-0.999999809
0.09,-0.999999619
0.084,-1.00000019
0.078,-1
0.072,-1
0.066,-1
0.06,-1
0.054,-1
0.048,-1
0.042,-0.999999625
0.036,-0.999999813
0.03,-1.000000186
0.024,-1
0.018,-1
0.012,-1
0.006,-1
0,-1.000000184
0.006,-1
0.012,-1
0.018,-1.000000536
0.024,-1
0.03,-1
0.036,-1
0.042,-0.999999661
0.048,-1
0.054,-0.99999911
0.06,0.999999508
0.066,0.999999767
0.072,0.999999689
0.078,1
0.084,1.000000193
0.09,1
