Radial elongation [mm],Load [kN]
0.0,0.009095115
-3.29517e-05,0.001211531
-6.023400000000001e-06,-0.001088738
-1.0501800000000002e-05,-0.004845489
9.422289999999999e-06,0.001469126
1.9164383e-05,0.033392921
8.876109999999999e-05,0.116486795
0.00017670349999999999,0.213637426
0.0002387275,0.315188885
0.0003028385,0.420716524
0.0003016405,0.527741671
0.0002508595,0.627254844
0.0001954875,0.733386219
0.0002056015,0.838702083
0.0001616125,0.93813014
0.0001633275,1.03640008
0.0001417995,1.134388924
0.0001129906,1.233212233
9.05949e-05,1.327221632
4.26786e-05,1.415389419
-5.021700000000003e-06,1.510567784
-4.358050000000001e-05,1.608240128
-2.36375e-05,1.7022084
-7.30524e-05,1.795160651
-0.0001301715,1.889964342
-0.0001553205,1.986119986
-0.0001627015,2.082060814
-0.0001579115,2.187115908
-0.0001845695,2.283487797
-0.0002176305,2.377876282
-0.00026407549999999996,2.475270271
-0.0002524895,2.575087786
-0.0003083125,2.672779799
-0.0002889085,2.767303705
-0.00025177649999999995,2.862259865
-9.62275e-05,2.963915348
2.7207739999999996e-05,3.060878277
7.59725e-05,3.154825211
0.0001636315,3.24653554
0.00026301350000000005,3.337312698
0.00036146850000000005,3.436562538
0.00037042149999999996,3.528094292
0.0004477235,3.62719202
0.00044433250000000004,3.721180201
0.00046254550000000003,3.818173647
0.0005234275,3.914327145
0.0005276514999999999,4.008900166
0.0005133615,4.104079247
0.0005646655,4.196910858
0.0005634255,4.295834064
0.0005435335,4.387614727
0.0005777895,4.481956482
0.0005787104999999999,4.577178001
0.0005456535,4.674304962
0.0005273475,4.767940044
0.0005586225,4.864328384
0.0004986655,4.956840515
0.0004946875,5.047194958
0.0005109365,5.138895035
0.0004960885,5.23273468
0.0004870905,5.325963497
0.0004931495,5.418187141
0.00045027749999999997,5.504206657
0.00043501749999999995,5.593546867
0.0003925535,5.685770035
0.0003485275,5.775791168
0.0003198935,5.866457939
0.00029517849999999995,5.952317715
0.0002210045,6.03996563
0.0002005595,6.127801895
0.0001712905,6.211678982
0.0001073796,6.292413235
1.0869879999999998e-05,6.372401237
-6.0904300000000006e-05,6.451212406
-0.0001512615,6.527658463
-0.00018318150000000001,6.5972929
-0.0002545615,6.674826622
-0.00042699450000000005,6.741904259
-0.00047683350000000003,6.809486389
-0.0006001685,6.875063896
-0.0006827345,6.939172745
